Place,Competitor,DOB,Nationality,Score,Date,ResultScore,City
18, Gabriel Gerald GEAY, 10 SEP 1996, TAN, 1337," 17 APR 2023"""," ""1207""",Marathon
19, Brimin KIPKORIR, 1989, KEN, 1336," 29 OCT 2023"""," ""1247""",Marathon
19, Brimin KIPKORIR, 1989, KEN, 1336," 05 MAR 2023"""," ""1200""",Marathon
20, Hailemaryam KIROS, 05 FEB 1997, ETH, 1334," 11 JUN 2023"""," ""1178""",Marathon
20, Hailemaryam KIROS, 05 FEB 1997, ETH, 1334," 26 FEB 2023"""," ""1227""",Marathon
21, Bethwel KIBET, 04 AUG 1991, KEN, 1330," 15 OCT 2023"""," ""1251""",Marathon
21, Bethwel KIBET, 04 AUG 1991, KEN, 1330," 17 SEP 2023"""," ""1160""",10 Miles Road
21, Bethwel KIBET, 04 AUG 1991, KEN, 1330," 19 FEB 2023"""," ""1233""",Marathon
22, Dawit WOLDE, 19 MAY 1991, ETH, 1325," 03 DEC 2023"""," ""1265""",Marathon
22, Dawit WOLDE, 19 MAY 1991, ETH, 1325," 08 OCT 2023"""," ""1135""",Marathon
22, Dawit WOLDE, 19 MAY 1991, ETH, 1325," 30 JUL 2023"""," ""942""",Half Marathon
22, Dawit WOLDE, 19 MAY 1991, ETH, 1325," 15 JUL 2023"""," ""1139""",5000 Metres
22, Dawit WOLDE, 19 MAY 1991, ETH, 1325," 12 JUL 2023"""," ""1101""",1500 Metres
22, Dawit WOLDE, 19 MAY 1991, ETH, 1325," 16 APR 2023"""," ""1231""",Marathon
23, Stephen KIPROP, 08 SEP 1999, KEN, 1323," 03 DEC 2023"""," ""1170""",Marathon
23, Stephen KIPROP, 08 SEP 1999, KEN, 1323," 22 OCT 2023"""," ""1205""",Half Marathon
24, Milkesa MENGESHA, 16 APR 2000, ETH, 1321," 27 AUG 2023"""," ""1148""",Marathon
24, Milkesa MENGESHA, 16 APR 2000, ETH, 1321," 21 MAY 2023"""," ""1100""",10 Kilometres Road
24, Milkesa MENGESHA, 16 APR 2000, ETH, 1321," 02 APR 2023"""," ""1214""",Marathon
25, Jemal MEKONEN, 11 SEP 1996, ETH, 1319," 05 NOV 2023"""," ""1135""",Marathon
25, Jemal MEKONEN, 11 SEP 1996, ETH, 1319," 01 OCT 2023"""," ""1212""",Half Marathon
25, Jemal MEKONEN, 11 SEP 1996, ETH, 1319," 27 AUG 2023"""," ""1242""",Half Marathon
25, Jemal MEKONEN, 11 SEP 1996, ETH, 1319," 04 JUL 2023"""," ""1145""",10 Kilometres Road
25, Jemal MEKONEN, 11 SEP 1996, ETH, 1319," 07 MAY 2023"""," ""Lilac Bloomsday Run",12 Kilometres Road
26, Birhanu LEGESE, 11 SEP 1994, ETH, 1319," 15 OCT 2023"""," ""1249""",Marathon
26, Birhanu LEGESE, 11 SEP 1994, ETH, 1319," 21 MAY 2023"""," ""1062""",10 Kilometres Road
26, Birhanu LEGESE, 11 SEP 1994, ETH, 1319," 23 APR 2023"""," ""TCS London Marathon",Marathon
26, Birhanu LEGESE, 11 SEP 1994, ETH, 1319," 19 FEB 2023"""," ""1227""",Half Marathon
27, Solomon Kirwa YEGO, 10 MAY 1987, KEN, 1317," 26 NOV 2023"""," ""1233""",Marathon
27, Solomon Kirwa YEGO, 10 MAY 1987, KEN, 1317," 17 SEP 2023"""," ""1170""",Half Marathon
27, Solomon Kirwa YEGO, 10 MAY 1987, KEN, 1317," 14 MAY 2023"""," ""1174""",Marathon
27, Solomon Kirwa YEGO, 10 MAY 1987, KEN, 1317," 19 FEB 2023"""," ""1207""",Half Marathon
28, Felix KIRWA, 08 OCT 1995, KEN, 1317," 29 OCT 2023"""," ""1162""",Marathon
28, Felix KIRWA, 08 OCT 1995, KEN, 1317," 30 APR 2023"""," ""1143""",Marathon
28, Felix KIRWA, 08 OCT 1995, KEN, 1317," 16 APR 2023"""," ""1110""",Half Marathon
29, Haymanot ALEW, 11 NOV 1997, ETH, 1313," 17 DEC 2023"""," ""1140""",25 Kilometres Road
29, Haymanot ALEW, 11 NOV 1997, ETH, 1313," 15 OCT 2023"""," ""1187""",Marathon
29, Haymanot ALEW, 11 NOV 1997, ETH, 1313," 11 JUN 2023"""," ""1141""",Marathon
29, Haymanot ALEW, 11 NOV 1997, ETH, 1313," 12 FEB 2023"""," ""1228""",Marathon
30, John KORIR, 02 DEC 1996, KEN, 1311," 08 OCT 2023"""," ""1242""",Marathon
30, John KORIR, 02 DEC 1996, KEN, 1311," 20 AUG 2023"""," ""Asics Falmouth Road Race",Road Race
30, John KORIR, 02 DEC 1996, KEN, 1311, 28:35.75 ," ""KEN""",10
30, John KORIR, 02 DEC 1996, KEN, 1311," 17 APR 2023"""," ""1140""",Marathon
31, Seifu TURA, 19 JUN 1997, ETH, 1311," 08 OCT 2023"""," ""1236""",Marathon
31, Seifu TURA, 19 JUN 1997, ETH, 1311," 23 APR 2023"""," ""1217""",Marathon
32, Chalu DESO, 14 DEC 1997, ETH, 1308," 03 DEC 2023"""," ""1241""",Marathon
32, Chalu DESO, 14 DEC 1997, ETH, 1308," 05 MAR 2023"""," ""1238""",Marathon
33, Albert KORIR, 02 MAR 1994, KEN, 1307," 05 NOV 2023"""," ""1211""",Marathon
33, Albert KORIR, 02 MAR 1994, KEN, 1307," 17 APR 2023"""," ""1174""",Marathon
34, Kibiwott KANDIE, 20 JUN 1996, KEN, 1307," 03 DEC 2023"""," ""1248""",Marathon
34, Kibiwott KANDIE, 20 JUN 1996, KEN, 1307," 22 OCT 2023"""," ""1282""",Half Marathon
34, Kibiwott KANDIE, 20 JUN 1996, KEN, 1307, 27:47.3h ," ""KEN""",10
34, Kibiwott KANDIE, 20 JUN 1996, KEN, 1307, 27:52.69 ," ""KEN""",10
34, Kibiwott KANDIE, 20 JUN 1996, KEN, 1307," 26 MAY 2023"""," ""1125""",5000 Metres
34, Kibiwott KANDIE, 20 JUN 1996, KEN, 1307," 24 MAY 2023"""," ""1005""",5000 Metres
34, Kibiwott KANDIE, 20 JUN 1996, KEN, 1307," 29 APR 2023"""," ""1237""",10 Kilometres Road
35, Mohamed ESA, 11 SEP 2000, ETH, 1305," 03 DEC 2023"""," ""1233""",Marathon
35, Mohamed ESA, 11 SEP 2000, ETH, 1305," 05 MAR 2023"""," ""1238""",Marathon
36, Alphonce Felix SIMBU, 14 FEB 1992, TAN, 1304," 26 NOV 2023"""," ""1233""",Marathon
36, Alphonce Felix SIMBU, 14 FEB 1992, TAN, 1304," 29 OCT 2023"""," ""1127""",Half Marathon
36, Alphonce Felix SIMBU, 14 FEB 1992, TAN, 1304," 27 AUG 2023"""," ""World Athletics Championships",Marathon
36, Alphonce Felix SIMBU, 14 FEB 1992, TAN, 1304," 16 APR 2023"""," ""1146""",Half Marathon
36, Alphonce Felix SIMBU, 14 FEB 1992, TAN, 1304," 26 FEB 2023"""," ""1222""",Marathon
37, Philimon Kiptoo KIPCHUMBA, 16 OCT 1998, KEN, 1302," 26 NOV 2023"""," ""1235""",Marathon
37, Philimon Kiptoo KIPCHUMBA, 16 OCT 1998, KEN, 1302," 02 APR 2023"""," ""1192""",Marathon
37, Philimon Kiptoo KIPCHUMBA, 16 OCT 1998, KEN, 1302," 12 FEB 2023"""," ""1147""",Marathon
38, Abdi NAGEEYE, 02 MAR 1989, NED, 1302," 05 NOV 2023"""," ""1154""",Marathon
38, Abdi NAGEEYE, 02 MAR 1989, NED, 1302," 27 AUG 2023"""," ""World Athletics Championships",Marathon
38, Abdi NAGEEYE, 02 MAR 1989, NED, 1302," 16 APR 2023"""," ""1235""",Marathon
38, Abdi NAGEEYE, 02 MAR 1989, NED, 1302," 19 FEB 2023"""," ""1140""",Half Marathon
39, Leul GEBRESILASE, 20 SEP 1992, ETH, 1297," 27 AUG 2023"""," ""1172""",Marathon
39, Leul GEBRESILASE, 20 SEP 1992, ETH, 1297," 23 APR 2023"""," ""1232""",Marathon
39, Leul GEBRESILASE, 20 SEP 1992, ETH, 1297," 15 JAN 2023"""," ""1164""",Half Marathon
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 23 NOV 2023"""," ""Manchester Road Race",Road Race
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 08 OCT 2023"""," ""1197""",Marathon
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 04 SEP 2023"""," ""1074""",20 Kilometres Road
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 05 AUG 2023"""," ""1135""",10 Kilometres Road
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 09 JUL 2023"""," ""1099""",5000 Metres
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 16 JUN 2023"""," ""1135""",1500 Metres
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 17 APR 2023"""," ""1134""",Marathon
40, Conner MANTZ, 08 DEC 1996, USA, 1296," 15 JAN 2023"""," ""1138""",Half Marathon
41, Ronald KORIR, 10 APR 1991, KEN, 1294," 03 DEC 2023"""," ""Fukuoka International Marathon",Marathon
41, Ronald KORIR, 10 APR 1991, KEN, 1294," 03 DEC 2023"""," ""Fukuoka International Marathon",Marathon
41, Ronald KORIR, 10 APR 1991, KEN, 1294," 24 SEP 2023"""," ""1256""",Marathon
42, Lemi BERHANU, 13 SEP 1994, ETH, 1291," 15 OCT 2023"""," ""1231""",Marathon
42, Lemi BERHANU, 13 SEP 1994, ETH, 1291," 11 JUN 2023"""," ""1116""",Marathon
42, Lemi BERHANU, 13 SEP 1994, ETH, 1291," 15 JAN 2023"""," ""1201""",Marathon
43, Tadesse ABRAHAM, 12 AUG 1982, SUI, 1290," 24 SEP 2023"""," ""1242""",Marathon
43, Tadesse ABRAHAM, 12 AUG 1982, SUI, 1290," 07 MAY 2023"""," ""1051""",Half Marathon
43, Tadesse ABRAHAM, 12 AUG 1982, SUI, 1290," 19 MAR 2023"""," ""1215""",Marathon
44, Tebello RAMAKONGOANA, 13 OCT 1996, LES, 1285," 27 AUG 2023"""," ""1161""",Marathon
44, Tebello RAMAKONGOANA, 13 OCT 1996, LES, 1285," 03 JUN 2023"""," ""1163""",Half Marathon
44, Tebello RAMAKONGOANA, 13 OCT 1996, LES, 1285," 12 MAR 2023"""," ""1157""",Marathon
45, Akira AKASAKI, 21 JAN 1998, JPN, 1280, 27:48.09 ," ""JPN""",10
45, Akira AKASAKI, 21 JAN 1998, JPN, 1280," 15 OCT 2023"""," ""1175""",Marathon
45, Akira AKASAKI, 21 JAN 1998, JPN, 1280," 12 JUL 2023"""," ""1107""",5000 Metres
45, Akira AKASAKI, 21 JAN 1998, JPN, 1280," 08 JUL 2023"""," ""1110""",5000 Metres
45, Akira AKASAKI, 21 JAN 1998, JPN, 1280," 12 FEB 2023"""," ""1110""",Half Marathon
46, Amanal PETROS, 17 MAY 1995, GER, 1280," 24 SEP 2023"""," ""1245""",Marathon
46, Amanal PETROS, 17 MAY 1995, GER, 1280, 27:47.62 ," ""BEL""",10
46, Amanal PETROS, 17 MAY 1995, GER, 1280," 26 MAR 2023"""," ""1210""",Marathon
46, Amanal PETROS, 17 MAY 1995, GER, 1280," 26 FEB 2023"""," ""1175""",10 Kilometres Road
46, Amanal PETROS, 17 MAY 1995, GER, 1280," 18 FEB 2023"""," ""1147""",Half Marathon
46, Amanal PETROS, 17 MAY 1995, GER, 1280," 15 JAN 2023"""," ""1127""",10 Kilometres Road
47, Enock ONCHARI, 16 JAN 1999, KEN, 1278," 17 DEC 2023"""," ""958""",Half Marathon
47, Enock ONCHARI, 16 JAN 1999, KEN, 1278," 26 NOV 2023"""," ""1197""",Marathon
47, Enock ONCHARI, 16 JAN 1999, KEN, 1278," 24 SEP 2023"""," ""BMW Berlin Marathon",Marathon
47, Enock ONCHARI, 16 JAN 1999, KEN, 1278," 19 MAR 2023"""," ""1205""",Marathon
47, Enock ONCHARI, 16 JAN 1999, KEN, 1278," 19 FEB 2023"""," ""1231""",Marathon
48, Edwin KIPTOO, 14 AUG 1993, KEN, 1276," 12 NOV 2023"""," ""1151""",Marathon
48, Edwin KIPTOO, 14 AUG 1993, KEN, 1276," 08 OCT 2023"""," ""1089""",Marathon
48, Edwin KIPTOO, 14 AUG 1993, KEN, 1276," 24 SEP 2023"""," ""1093""",10 Miles Road
48, Edwin KIPTOO, 14 AUG 1993, KEN, 1276," 27 AUG 2023"""," ""1133""",Marathon
48, Edwin KIPTOO, 14 AUG 1993, KEN, 1276," 29 APR 2023"""," ""1162""",Half Marathon
48, Edwin KIPTOO, 14 AUG 1993, KEN, 1276," 19 MAR 2023"""," ""1178""",Marathon
48, Edwin KIPTOO, 14 AUG 1993, KEN, 1276," 26 FEB 2023"""," ""1111""",Half Marathon
49, Laban Kipngetich KORIR, 30 JUN 1985, KEN, 1275," 17 SEP 2023"""," ""1182""",Marathon
49, Laban Kipngetich KORIR, 30 JUN 1985, KEN, 1275," 02 APR 2023"""," ""1167""",Marathon
50, Rhonzas Lokitam KILIMO, 05 SEP 1996, KEN, 1273," 12 NOV 2023"""," ""1118""",Marathon
50, Rhonzas Lokitam KILIMO, 05 SEP 1996, KEN, 1273," 27 AUG 2023"""," ""1085""",Marathon
50, Rhonzas Lokitam KILIMO, 05 SEP 1996, KEN, 1273," 23 APR 2023"""," ""1191""",Marathon
50, Rhonzas Lokitam KILIMO, 05 SEP 1996, KEN, 1273," 26 FEB 2023"""," ""1142""",Half Marathon
51, Gashau AYALE, 22 AUG 1996, ISR, 1271," 03 DEC 2023"""," ""1231""",Marathon
51, Gashau AYALE, 22 AUG 1996, ISR, 1271," 10 JUN 2023"""," ""860""",1500 Metres
51, Gashau AYALE, 22 AUG 1996, ISR, 1271," 10 JUN 2023"""," ""1041""",5000 Metres
51, Gashau AYALE, 22 AUG 1996, ISR, 1271," 19 FEB 2023"""," ""1235""",Marathon
52, Edmond KIPNGETICH, 30 MAR 1994, KEN, 1269," 22 OCT 2023"""," ""1214""",Marathon
52, Edmond KIPNGETICH, 30 MAR 1994, KEN, 1269," 26 MAY 2023"""," ""976""",5000 Metres
52, Edmond KIPNGETICH, 30 MAR 1994, KEN, 1269," 24 MAY 2023"""," ""929""",5000 Metres
52, Edmond KIPNGETICH, 30 MAR 1994, KEN, 1269," 27 APR 2023"""," ""1018""",5000 Metres
52, Edmond KIPNGETICH, 30 MAR 1994, KEN, 1269," 05 FEB 2023"""," ""1136""",Half Marathon
53, Philemon KIPLIMO, 10 OCT 1998, KEN, 1268," 24 SEP 2023"""," ""1246""",Marathon
53, Philemon KIPLIMO, 10 OCT 1998, KEN, 1268," 04 JUL 2023"""," ""1111""",10 Kilometres Road
53, Philemon KIPLIMO, 10 OCT 1998, KEN, 1268," 01 MAY 2023"""," ""1128""",15 Kilometres Road
53, Philemon KIPLIMO, 10 OCT 1998, KEN, 1268," 02 APR 2023"""," ""1148""",Half Marathon
54, Zouhair TALBI, 08 APR 1995, MAR, 1268," 25 JUN 2023"""," ""1000""",10 Kilometres Road
54, Zouhair TALBI, 08 APR 1995, MAR, 1268," 17 APR 2023"""," ""1165""",Marathon
54, Zouhair TALBI, 08 APR 1995, MAR, 1268," 19 MAR 2023"""," ""1096""",Half Marathon
54, Zouhair TALBI, 08 APR 1995, MAR, 1268," 10 FEB 2023"""," ""Tyson Invitational",3000 Metres Short Track
54, Zouhair TALBI, 08 APR 1995, MAR, 1268," 15 JAN 2023"""," ""1141""",Half Marathon
55, Derseh KINDIE, 04 FEB 1999, ETH, 1266," 03 DEC 2023"""," ""1230""",Marathon
55, Derseh KINDIE, 04 FEB 1999, ETH, 1266," 20 JAN 2023"""," ""Ooredoo Doha Marathon",Marathon
56, Samwel Nyamai MAILU, 07 FEB 1993, KEN, 1265," 09 DEC 2023"""," ""1170""",5 Kilometres Road
56, Samwel Nyamai MAILU, 07 FEB 1993, KEN, 1265," 29 OCT 2023"""," ""1096""",Marathon
56, Samwel Nyamai MAILU, 07 FEB 1993, KEN, 1265," 01 OCT 2023"""," ""1214""",Half Marathon
56, Samwel Nyamai MAILU, 07 FEB 1993, KEN, 1265," 25 JUN 2023"""," ""1140""",Half Marathon
56, Samwel Nyamai MAILU, 07 FEB 1993, KEN, 1265," 23 APR 2023"""," ""1242""",Marathon
57, Mike Kiptum BOIT, 14 SEP 1992, KEN, 1264," 05 NOV 2023"""," ""1205""",Marathon
57, Mike Kiptum BOIT, 14 SEP 1992, KEN, 1264," 17 SEP 2023"""," ""1119""",Half Marathon
57, Mike Kiptum BOIT, 14 SEP 1992, KEN, 1264," 02 APR 2023"""," ""1204""",Marathon
57, Mike Kiptum BOIT, 14 SEP 1992, KEN, 1264," 05 MAR 2023"""," ""Tokyo Marathon",Marathon
58, Mulugeta Asefa UMA, 12 MAR 1998, ETH, 1264," 29 OCT 2023"""," ""1214""",Marathon
58, Mulugeta Asefa UMA, 12 MAR 1998, ETH, 1264," 17 SEP 2023"""," ""1147""",10 Miles Road
58, Mulugeta Asefa UMA, 12 MAR 1998, ETH, 1264," 19 FEB 2023"""," ""1225""",Marathon
59, Haftu TEKLU, 21 JAN 2000, ETH, 1262," 24 SEP 2023"""," ""1250""",Marathon
59, Haftu TEKLU, 21 JAN 2000, ETH, 1262," 10 JUN 2023"""," ""1093""",Half Marathon
59, Haftu TEKLU, 21 JAN 2000, ETH, 1262," 30 APR 2023"""," ""1184""",Half Marathon
59, Haftu TEKLU, 21 JAN 2000, ETH, 1262," 19 MAR 2023"""," ""1229""",Marathon
60, Tadu ABATE, 11 SEP 1997, ETH, 1262," 24 SEP 2023"""," ""1232""",Marathon
60, Tadu ABATE, 11 SEP 1997, ETH, 1262," 05 MAR 2023"""," ""1234""",Marathon
61, Kenneth Kiprop KIPKEMOI, 02 AUG 1984, KEN, 1262," 08 OCT 2023"""," ""1247""",Marathon
61, Kenneth Kiprop KIPKEMOI, 02 AUG 1984, KEN, 1262," 16 APR 2023"""," ""1189""",Marathon
62, Bernard Kiprop KOECH, 31 JAN 1988, KEN, 1262," 17 SEP 2023"""," ""1218""",Half Marathon
62, Bernard Kiprop KOECH, 31 JAN 1988, KEN, 1262," 23 APR 2023"""," ""1259""",Marathon
63, Clayton YOUNG, 14 SEP 1993, USA, 1260," 08 OCT 2023"""," ""1194""",Marathon
63, Clayton YOUNG, 14 SEP 1993, USA, 1260," 04 SEP 2023"""," ""1075""",20 Kilometres Road
63, Clayton YOUNG, 14 SEP 1993, USA, 1260," 20 AUG 2023"""," ""Asics Falmouth Road Race",Road Race
63, Clayton YOUNG, 14 SEP 1993, USA, 1260," 15 JUL 2023"""," ""USA Men's 8km Road Running Championships",8 Kilometres Road
64, Balew YIHUNLE, 21 SEP 1998, ETH, 1259," 05 NOV 2023"""," ""1207""",Marathon
64, Balew YIHUNLE, 21 SEP 1998, ETH, 1259," 11 FEB 2023"""," ""1132""",Marathon
65, Andualem BELAY, 05 APR 1992, ETH, 1258," 24 SEP 2023"""," ""1249""",Marathon
65, Andualem BELAY, 05 APR 1992, ETH, 1258," 17 APR 2023"""," ""1111""",Marathon
67, Chala REGASA, 30 APR 1997, ETH, 1258," 16 APR 2023"""," ""1224""",Marathon
68, Morhad AMDOUNI, 21 JUN 1988, FRA, 1256," 03 DEC 2023"""," ""1212""",Marathon
68, Morhad AMDOUNI, 21 JUN 1988, FRA, 1256," 08 OCT 2023"""," ""1137""",20 Kilometres Road
68, Morhad AMDOUNI, 21 JUN 1988, FRA, 1256," 27 AUG 2023"""," ""World Athletics Championships",Marathon
68, Morhad AMDOUNI, 21 JUN 1988, FRA, 1256," 17 JUN 2023"""," ""1073""",10 Kilometres Road
68, Morhad AMDOUNI, 21 JUN 1988, FRA, 1256," 21 MAY 2023"""," ""958""",3000 Metres
68, Morhad AMDOUNI, 21 JUN 1988, FRA, 1256," 06 MAY 2023"""," ""980""",3000 Metres
68, Morhad AMDOUNI, 21 JUN 1988, FRA, 1256," 02 APR 2023"""," ""1115""",Marathon
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 03 DEC 2023"""," ""1226""",Marathon
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 27 AUG 2023"""," ""1119""",Marathon
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 25 JUN 2023"""," ""1047""",Half Marathon
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 11 JUN 2023"""," ""890""",3000 Metres
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 02 JUN 2023"""," ""Ashkelon Road Running",5 Kilometres Road
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 02 JUN 2023"""," ""Ashkelon Road Running",10 Kilometres Road
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 02 APR 2023"""," ""1082""",Half Marathon
69, Haimro ALAME, 08 JUN 1990, ISR, 1255," 19 FEB 2023"""," ""1195""",Marathon
70, Bazezew ASMARE, 11 SEP 1996, ETH, 1253," 15 OCT 2023"""," ""1218""",Marathon
70, Bazezew ASMARE, 11 SEP 1996, ETH, 1253," 16 APR 2023"""," ""1194""",Marathon
70, Bazezew ASMARE, 11 SEP 1996, ETH, 1253," 12 MAR 2023"""," ""1067""",Half Marathon
71, Maru TEFERI, 17 AUG 1992, ISR, 1253," 05 NOV 2023"""," ""1152""",Marathon
