Place,Competitor,DOB,Nationality,Score,Date,res,City
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 08 APR 2023,GAB,Port Gentil
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 12 MAR 2023,POR,Lisboa - Elite Event
9, Kenenisa BEKELE,13 JUN 1982, ETH, 1372, 03 DEC 2023,ESP,Valencia
9, Kenenisa BEKELE,13 JUN 1982, ETH, 1372, 23 APR 2023,GBR,London
10, Timothy KIPLAGAT,18 SEP 1993, KEN, 1368, 31 DEC 2023,BRA,São Paulo
10, Timothy KIPLAGAT,18 SEP 1993, KEN, 1368, 27 AUG 2023,BRA,Budapest 2023
10, Timothy KIPLAGAT,18 SEP 1993, KEN, 1368, 16 APR 2023,NED,Rotterdam
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 17 SEP 2023,DEN,København
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 26 JUL 2023,273m,Castelbuono - Non-standard distance: 11
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 08 JUL 2023,GBR,Manchester Regional Arena
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 01 JUL 2023,GBR,Woodside Stadium
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 27 MAY 2023,GBR,Sportcity Regional Arena
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 23 APR 2023,GBR,London
12, Eliud KIPCHOGE,05 NOV 1984, KEN, 1351, 24 SEP 2023,GER,Berlin
12, Eliud KIPCHOGE,05 NOV 1984, KEN, 1351, 17 APR 2023,USA,Boston
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 24 SEP 2023,GER,Berlin
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 29 APR 2023,GER,Adi-Dassler-Straße 1
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 26 MAR 2023,ESP,Madrid
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 05 MAR 2023,ITA,Roma
14, Deresa GELETA,14 JAN 1996, ETH, 1341, 29 OCT 2023,CHN,Beijing
14, Deresa GELETA,14 JAN 1996, ETH, 1341, 12 FEB 2023,UAE,Dubai
15, Joshua BELET,10 FEB 1998, KEN, 1340, 15 OCT 2023,NED,Amsterdam
15, Joshua BELET,10 FEB 1998, KEN, 1340, 27 AUG 2023,Hősök tere,Budapest 2023
15, Joshua BELET,10 FEB 1998, KEN, 1340, 23 APR 2023,GER,Hamburg
16, Evans CHEBET,10 NOV 1988, KEN, 1340, 17 APR 2023,USA,Boston
17, Othmane EL GOUMRI,28 MAY 1992, MAR, 1339, 19 NOV 2023,HKG,Hong Kong-Zhuhai-Macao Bridge
17, Othmane EL GOUMRI,28 MAY 1992, MAR, 1339, 17 SEP 2023,AUS,presented by Asics
17, Othmane EL GOUMRI,28 MAY 1992, MAR, 1339, 19 MAR 2023,ESP,Barcelona
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 03 DEC 2023,ESP,Valencia
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 04 JUL 2023,USA,Atlanta
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 25 JUN 2023,USA,Boston
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 17 APR 2023,USA,Boston
19, Brimin KIPKORIR,1989, KEN, 1336, 29 OCT 2023,GER,Frankfurt
19, Brimin KIPKORIR,1989, KEN, 1336, 05 MAR 2023,JPN,Tokyo
20, Hailemaryam KIROS,05 FEB 1997, ETH, 1334, 11 JUN 2023,CHN,Lanzhou
20, Hailemaryam KIROS,05 FEB 1997, ETH, 1334, 26 FEB 2023,JPN,Osaka
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 15 OCT 2023,NED,Amsterdam
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 17 SEP 2023,NED,Zaandam
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 28:48.21 ,NED,Kenya Defence Forces Championships
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 19 FEB 2023,ESP,Sevilla
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 13 OCT 2024,USA,Chicago
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 07 JUL 2024,Hengelo,FBK Stadium
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 02 JUN 2024,ESP,Madrid
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 21 APR 2024,GBR,London
23, Stephen KIPROP,08 SEP 1999, KEN, 1323, 03 DEC 2023,ESP,Valencia
23, Stephen KIPROP,08 SEP 1999, KEN, 1323, 22 OCT 2023,ESP,Valencia
24, Milkesa MENGESHA,16 APR 2000, ETH, 1321, 27 AUG 2023,ESP,Budapest 2023
24, Milkesa MENGESHA,16 APR 2000, ETH, 1321, 21 MAY 2023,IND,Bengaluru
24, Milkesa MENGESHA,16 APR 2000, ETH, 1321, 02 APR 2023,KOR,Daegu
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 05 NOV 2023,USA,New York
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 01 OCT 2023,LAT,Riga
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 27 AUG 2023,GBR,Larne
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 04 JUL 2023,USA,Atlanta
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 07 MAY 2023,WA,Spokane
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 15 OCT 2023,NED,Amsterdam
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 21 MAY 2023,IND,Bengaluru
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 23 APR 2023,GBR,London
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 19 FEB 2023,ESP,Barcelona
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 26 NOV 2023,CHN,Shanghai
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 17 SEP 2023,DEN,København
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 14 MAY 2023,DEN,København
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 19 FEB 2023,ESP,Barcelona
28, Felix KIRWA,08 OCT 1995, KEN, 1317, 29 OCT 2023,CHN,Chengdu
28, Felix KIRWA,08 OCT 1995, KEN, 1317, 30 APR 2023,CHN,Yichang
28, Felix KIRWA,08 OCT 1995, KEN, 1317, 16 APR 2023,CHN,Shanghai
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 17 DEC 2023,IND,Kolkata
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 15 OCT 2023,NED,Amsterdam
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 11 JUN 2023,CHN,Lanzhou
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 12 FEB 2023,UAE,Dubai
30, John KORIR,02 DEC 1996, KEN, 1311, 08 OCT 2023,USA,Chicago
30, John KORIR,02 DEC 1996, KEN, 1311, 20 AUG 2023,USA,Falmouth High School
30, John KORIR,02 DEC 1996, KEN, 1311, 28:35.75 ,USA,Kenyan Championships
30, John KORIR,02 DEC 1996, KEN, 1311, 17 APR 2023,USA,Boston
31, Seifu TURA,19 JUN 1997, ETH, 1311, 08 OCT 2023,USA,Chicago
31, Seifu TURA,19 JUN 1997, ETH, 1311, 23 APR 2023,GBR,London
32, Chalu DESO,14 DEC 1997, ETH, 1308, 03 DEC 2023,ESP,Valencia
32, Chalu DESO,14 DEC 1997, ETH, 1308, 05 MAR 2023,JPN,Tokyo
33, Albert KORIR,02 MAR 1994, KEN, 1307, 05 NOV 2023,USA,New York
33, Albert KORIR,02 MAR 1994, KEN, 1307, 17 APR 2023,USA,Boston
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 03 DEC 2023,ESP,Valencia
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 22 OCT 2023,ESP,Valencia
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 27:47.3h ,ESP,Trials For World Athletics Championships Budapest 2023
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 27:52.69 ,ESP,Kenyan Championships
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 26 MAY 2023,ESP,Ulinzi Sports Complex
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 24 MAY 2023,ESP,Ulinzi Sports Complex
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 28:19.32 ,ESP,Kenya Defence Forces Championships
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 29 APR 2023,GER,Adi-Dassler-Straße 1
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 18 FEB 2023,AUS,Bathurst
35, Mohamed ESA,11 SEP 2000, ETH, 1305, 13 OCT 2024,USA,Chicago
35, Mohamed ESA,11 SEP 2000, ETH, 1305, 15 APR 2024,USA,Boston
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 26 NOV 2023,CHN,Shanghai
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 29 OCT 2023,SUI,Luzern - World Military Championships
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 27 AUG 2023,Hősök tere,Budapest 2023
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 16 APR 2023,CHN,Yangzhou
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 26 FEB 2023,JPN,Osaka
37, Philimon Kiptoo KIPCHUMBA,16 OCT 1998, KEN, 1302, 26 NOV 2023,CHN,Shanghai
37, Philimon Kiptoo KIPCHUMBA,16 OCT 1998, KEN, 1302, 02 APR 2023,CHN,Xiamen
37, Philimon Kiptoo KIPCHUMBA,16 OCT 1998, KEN, 1302, 12 FEB 2023,HKG,Hong Kong
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 05 NOV 2023,USA,New York
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 27 AUG 2023,Hősök tere,Budapest 2023
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 16 APR 2023,NED,Rotterdam
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 19 FEB 2023,ESP,Barcelona
39, Leul GEBRESILASE,20 SEP 1992, ETH, 1297, 27 AUG 2023,ESP,Budapest 2023
39, Leul GEBRESILASE,20 SEP 1992, ETH, 1297, 23 APR 2023,GBR,London
39, Leul GEBRESILASE,20 SEP 1992, ETH, 1297, 15 JAN 2023,USA,Houston
40, Conner MANTZ,08 DEC 1996, USA, 1296, 23 NOV 2023,CT - Non-standard distance 4.748 Mile,Manchester
40, Conner MANTZ,08 DEC 1996, USA, 1296, 08 OCT 2023,USA,Chicago
40, Conner MANTZ,08 DEC 1996, USA, 1296, 04 SEP 2023,USA,New Haven
40, Conner MANTZ,08 DEC 1996, USA, 1296, 05 AUG 2023,USA,1000 Shore Road
40, Conner MANTZ,08 DEC 1996, USA, 1296, 09 JUL 2023,USA,Hayward Field
40, Conner MANTZ,08 DEC 1996, USA, 1296, 28:29.36 ,USA,USA Championships
40, Conner MANTZ,08 DEC 1996, USA, 1296, 16 JUN 2023,USA,Hayward Field
40, Conner MANTZ,08 DEC 1996, USA, 1296, 17 APR 2023,USA,Boston
40, Conner MANTZ,08 DEC 1996, USA, 1296, 27:25.30 ,USA,The TEN
40, Conner MANTZ,08 DEC 1996, USA, 1296, 15 JAN 2023,USA,Houston
41, Ronald KORIR,10 APR 1991, KEN, 1294, 03 DEC 2023,JPN,Fukuoka
41, Ronald KORIR,10 APR 1991, KEN, 1294, 03 DEC 2023,JPN,Fukuoka
41, Ronald KORIR,10 APR 1991, KEN, 1294, 24 SEP 2023,GER,Berlin
42, Lemi BERHANU,13 SEP 1994, ETH, 1291, 15 OCT 2023,NED,Amsterdam
42, Lemi BERHANU,13 SEP 1994, ETH, 1291, 11 JUN 2023,CHN,Lanzhou
42, Lemi BERHANU,13 SEP 1994, ETH, 1291, 15 JAN 2023,IND,Mumbai
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 03 DEC 2023,SUI,Genève - Non-standard distance 7.323
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 24 SEP 2023,GER,Berlin
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 07 MAY 2023,SUI,Genève
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 19 MAR 2023,ESP,Barcelona
44, Tebello RAMAKONGOANA,13 OCT 1996, LES, 1285, 27 AUG 2023,ESP,Budapest 2023
44, Tebello RAMAKONGOANA,13 OCT 1996, LES, 1285, 03 JUN 2023,RSA,Gqeberha
44, Tebello RAMAKONGOANA,13 OCT 1996, LES, 1285, 12 MAR 2023,RSA,Durban
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 27:48.09 ,RSA,Hachioji Long Distance
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 15 OCT 2023,JPN,Tokyo
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 12 JUL 2023,JPN,Municipal Stadium
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 08 JUL 2023,JPN,Athletic Track
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 12 FEB 2023,JPN,Ishin Me-Life Stadium
46, Amanal PETROS,17 MAY 1995, GER, 1280, 24 SEP 2023,GER,Berlin
46, Amanal PETROS,17 MAY 1995, GER, 1280, 27:47.62 ,GER,Memorial van Damme
46, Amanal PETROS,17 MAY 1995, GER, 1280, 26 MAR 2023,GER,Hannover
46, Amanal PETROS,17 MAY 1995, GER, 1280, 26 FEB 2023,ESP,Castellón
46, Amanal PETROS,17 MAY 1995, GER, 1280, 18 FEB 2023,UAE,Ras Al Khaimah
46, Amanal PETROS,17 MAY 1995, GER, 1280, 15 JAN 2023,ESP,Valencia
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 17 DEC 2023,THA,Chon Buri
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 26 NOV 2023,CHN,Shanghai
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 24 SEP 2023,GER,Berlin
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 19 MAR 2023,CHN,Wuxi
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 19 FEB 2023,ESP,Sevilla
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 12 NOV 2023,GRE,Athina
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 08 OCT 2023,NED,Eindhoven
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 24 SEP 2023,NED,Tilburg
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 27 AUG 2023,MEX,Ciudad de México
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 29 APR 2023,GER,Adi-Dassler-Straße 1
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 19 MAR 2023,KOR,Seoul
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 26 FEB 2023,MEX,Guadalajara
49, Laban Kipngetich KORIR,30 JUN 1985, KEN, 1275, 17 SEP 2023,AUS,presented by Asics
49, Laban Kipngetich KORIR,30 JUN 1985, KEN, 1275, 02 APR 2023,FRA,Paris
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 12 NOV 2023,GRE,Athina
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 27 AUG 2023,MEX,Ciudad de México
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 23 APR 2023,GER,Hamburg
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 26 FEB 2023,MEX,Guadalajara
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 03 DEC 2023,ESP,Valencia
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 10 JUN 2023,ISR,Hadar Yosef Stadium
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 10 JUN 2023,ISR,Hadar Yosef Stadium
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 28:15.32 ,ISR,European 10
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 28:08.39 ,ISR,Night of the 10
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 19 FEB 2023,ESP,Sevilla
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 22 OCT 2023,SLO,Ljubljana
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 26 MAY 2023,SLO,Ulinzi Sports Complex
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 24 MAY 2023,SLO,Ulinzi Sports Complex
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 27 APR 2023,KEN,Nyayo National Stadium
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 05 FEB 2023,ESP,Granollers
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 24 SEP 2023,GER,Berlin
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 04 JUL 2023,USA,Atlanta
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 01 MAY 2023,FRA,Le Puy-en-Velay
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 02 APR 2023,GER,Berlin
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 05 NOV 2023,NY,New York
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 25 JUN 2023,USA,Boston
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 17 APR 2023,USA,Boston
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 19 MAR 2023,USA,New York
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 10 FEB 2023,Fayetteville,Randal Tyson Indoor Center
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 15 JAN 2023,USA,Houston
55, Derseh KINDIE,04 FEB 1999, ETH, 1266, 03 DEC 2023,ESP,Valencia
55, Derseh KINDIE,04 FEB 1999, ETH, 1266, 20 JAN 2023,QAT,Doha
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 09 DEC 2023,KSA,Al Khobar
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 29 OCT 2023,GER,Frankfurt
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 01 OCT 2023,LAT,Riga
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 25 JUN 2023,GER,Hamburg
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 23 APR 2023,AUT,Wien
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 05 NOV 2023,KOR,Seoul
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 17 SEP 2023,POR,Porto
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 02 APR 2023,KOR,Daegu
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 05 MAR 2023,JPN,Tokyo
58, Mulugeta Asefa UMA,12 MAR 1998, ETH, 1264, 29 OCT 2023,GER,Frankfurt
58, Mulugeta Asefa UMA,12 MAR 1998, ETH, 1264, 17 SEP 2023,NED,Zaandam
58, Mulugeta Asefa UMA,12 MAR 1998, ETH, 1264, 19 FEB 2023,ESP,Sevilla
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 24 SEP 2023,GER,Berlin
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 10 JUN 2023,NED,Zwolle
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 30 APR 2023,TUR,Istanbul
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 19 MAR 2023,KOR,Seoul
60, Tadu ABATE,11 SEP 1997, ETH, 1262, 24 SEP 2023,GER,Berlin
60, Tadu ABATE,11 SEP 1997, ETH, 1262, 05 MAR 2023,JPN,Tokyo
61, Kenneth Kiprop KIPKEMOI,02 AUG 1984, KEN, 1262, 08 OCT 2023,NED,Eindhoven
61, Kenneth Kiprop KIPKEMOI,02 AUG 1984, KEN, 1262, 16 APR 2023,NED,Rotterdam
62, Bernard Kiprop KOECH,31 JAN 1988, KEN, 1262, 17 SEP 2023,DEN,København
62, Bernard Kiprop KOECH,31 JAN 1988, KEN, 1262, 23 APR 2023,GER,Hamburg
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 08 OCT 2023,USA,Chicago
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 04 SEP 2023,USA,New Haven
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 20 AUG 2023,USA,Falmouth High School
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 15 JUL 2023,TN,Kingsport
64, Balew YIHUNLE,21 SEP 1998, ETH, 1259, 05 NOV 2023,KOR,Seoul
64, Balew YIHUNLE,21 SEP 1998, ETH, 1259, 11 FEB 2023,KSA,Riyadh
65, Andualem BELAY,05 APR 1992, ETH, 1258, 24 SEP 2023,GER,Berlin
65, Andualem BELAY,05 APR 1992, ETH, 1258, 17 APR 2023,USA,Boston
66, Victor KIPLANGAT,10 NOV 1999, UGA, 1258, 27 AUG 2023,USA,Budapest 2023
66, Victor KIPLANGAT,10 NOV 1999, UGA, 1258, 26 FEB 2023,JPN,Osaka
67, Chala REGASA,30 APR 1997, ETH, 1258, 16 APR 2023,NED,Rotterdam
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 03 DEC 2023,ESP,Valencia
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 08 OCT 2023,FRA,Paris
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 27 AUG 2023,Hősök tere,Budapest 2023
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 17 JUN 2023,FRA,Langueux
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 21 MAY 2023,FRA,Stade C. Fichot
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 06 MAY 2023,FRA,Stade Jean Bouin
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 02 APR 2023,FRA,Paris
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 03 DEC 2023,ESP,Valencia
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 27 AUG 2023,ESP,Budapest 2023
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 25 JUN 2023,GER,Hamburg
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 11 JUN 2023,ISR,Hadar Yosef Stadium
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 02 JUN 2023,ISR,Ashkelon
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 02 JUN 2023,ISR,Ashkelon
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 02 APR 2023,GER,Berlin
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 19 FEB 2023,ESP,Sevilla
70, Bazezew ASMARE,11 SEP 1996, ETH, 1253, 15 OCT 2023,NED,Amsterdam
70, Bazezew ASMARE,11 SEP 1996, ETH, 1253, 16 APR 2023,NED,Rotterdam
70, Bazezew ASMARE,11 SEP 1996, ETH, 1253, 12 MAR 2023,POR,Lisboa - Elite Event
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 05 NOV 2023,USA,New York
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 27 AUG 2023,USA,Budapest 2023
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 21 MAY 2023,IND,Bengaluru
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 23 APR 2023,GBR,London
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 19 MAR 2023,USA,New York
72, Oqbe Kibrom RUESOM,01 JAN 1998, ERI, 1251, 27 AUG 2023,Hősök tere,Budapest 2023
72, Oqbe Kibrom RUESOM,01 JAN 1998, ERI, 1251, 19 MAR 2023,ESP,Barcelona
72, Oqbe Kibrom RUESOM,01 JAN 1998, ERI, 1251, 29 JAN 2023,ESP,Sevilla
73, Kenneth KETER,04 AUG 1996, KEN, 1250, 26 NOV 2023,CHN,Shanghai
73, Kenneth KETER,04 AUG 1996, KEN, 1250, 15 OCT 2023,CHN,Shanghai
73, Kenneth KETER,04 AUG 1996, KEN, 1250, 14 MAY 2023,DEN,København
73, Kenneth KETER,04 AUG 1996, KEN, 1250, 19 MAR 2023,ESP,Barcelona
74, Shaohui YANG,09 JUL 1992, CHN, 1250, 03 DEC 2023,JPN,Fukuoka
74, Shaohui YANG,09 JUL 1992, CHN, 1250, 05 OCT 2023,CHN,Qiantang River Green Belt
74, Shaohui YANG,09 JUL 1992, CHN, 1250, 27 AUG 2023,CHN,Budapest 2023
74, Shaohui YANG,09 JUL 1992, CHN, 1250, 21 MAY 2023,CHN,Taiyuan
74, Shaohui YANG,09 JUL 1992, CHN, 1250, 16 APR 2023,CHN,Wuhan
74, Shaohui YANG,09 JUL 1992, CHN, 1250, 19 MAR 2023,CHN,Wuxi
75, Samsom AMARE,01 JAN 1994, ERI, 1250, 16 DEC 2023,UAE,Abu Dhabi
