Place,Competitor,DOB,Nat,Nat.1_SRC,Score,Event_List
32,Chalu DESO,14 DEC 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1308,Marathon
33,Albert KORIR,02 MAR 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1307,Marathon
34,Kibiwott KANDIE,20 JUN 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1307,Marathon [Half Marathon]
35,Mohamed ESA,11 SEP 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1305,Marathon
36,Alphonce Felix SIMBU,14 FEB 1992,TAN,https://media.aws.iaaf.org/Flags/TAN.gif,1304,Marathon
37,Philimon Kiptoo KIPCHUMBA,16 OCT 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1302,Marathon
38,Abdi NAGEEYE,02 MAR 1989,NED,https://media.aws.iaaf.org/Flags/NED.gif,1302,Marathon
39,Leul GEBRESILASE,20 SEP 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1297,Marathon
40,Conner MANTZ,08 DEC 1996,USA,https://media.aws.iaaf.org/Flags/USA.gif,1296,Marathon
41,Ronald KORIR,10 APR 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1294,Marathon
42,Lemi BERHANU,13 SEP 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1291,Marathon
43,Tadesse ABRAHAM,12 AUG 1982,SUI,https://media.aws.iaaf.org/Flags/SUI.gif,1290,Marathon
44,Tebello RAMAKONGOANA,13 OCT 1996,LES,https://media.aws.iaaf.org/Flags/LES.gif,1285,Marathon
45,Akira AKASAKI,21 JAN 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1280,Marathon
46,Amanal PETROS,17 MAY 1995,GER,https://media.aws.iaaf.org/Flags/GER.gif,1280,Marathon
47,Enock ONCHARI,16 JAN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1278,Marathon
48,Edwin KIPTOO,14 AUG 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1276,Marathon
49,Laban Kipngetich KORIR,30 JUN 1985,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1275,Marathon
50,Rhonzas Lokitam KILIMO,05 SEP 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1273,Marathon
51,Gashau AYALE,22 AUG 1996,ISR,https://media.aws.iaaf.org/Flags/ISR.gif,1271,Marathon
52,Edmond KIPNGETICH,30 MAR 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1269,Marathon
53,Philemon KIPLIMO,10 OCT 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1268,Marathon
54,Zouhair TALBI,08 APR 1995,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1268,Marathon
55,Derseh KINDIE,04 FEB 1999,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1266,Marathon
56,Samwel Nyamai MAILU,07 FEB 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1265,Marathon [Half Marathon]
57,Mike Kiptum BOIT,14 SEP 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1264,Marathon
58,Mulugeta Asefa UMA,12 MAR 1998,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1264,Marathon
59,Haftu TEKLU,21 JAN 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1262,Marathon [Half Marathon]
60,Tadu ABATE,11 SEP 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1262,Marathon
61,Kenneth Kiprop KIPKEMOI,02 AUG 1984,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1262,Marathon
62,Bernard Kiprop KOECH,31 JAN 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1262,Marathon
63,Clayton YOUNG,14 SEP 1993,USA,https://media.aws.iaaf.org/Flags/USA.gif,1260,Marathon
64,Balew YIHUNLE,21 SEP 1998,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1259,Marathon
65,Andualem BELAY,05 APR 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1258,Marathon
66,Victor KIPLANGAT,10 NOV 1999,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1258,Marathon
67,Chala REGASA,30 APR 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1258,Marathon
68,Morhad AMDOUNI,21 JUN 1988,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1256,Marathon
69,Haimro ALAME,08 JUN 1990,ISR,https://media.aws.iaaf.org/Flags/ISR.gif,1255,Marathon
70,Bazezew ASMARE,11 SEP 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1253,Marathon
71,Maru TEFERI,17 AUG 1992,ISR,https://media.aws.iaaf.org/Flags/ISR.gif,1253,Marathon
72,Oqbe Kibrom RUESOM,01 JAN 1998,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1251,Marathon
73,Kenneth KETER,04 AUG 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1250,Marathon
74,Shaohui YANG,09 JUL 1992,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1250,Marathon
75,Samsom AMARE,01 JAN 1994,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1250,Marathon
76,Josphat BOIT,25 NOV 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1249,Marathon
77,Stephen KISSA,01 DEC 1988,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1247,Marathon
78,Mahamed MAHAMED,18 SEP 1997,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1245,Marathon
79,Naoki KOYAMA,12 MAY 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1245,Marathon
80,Yihunilign ADANE,29 FEB 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1245,Marathon
81,Tafese DELELEGN,11 SEP 1989,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1244,Marathon
82,Hassan CHAHDI,07 MAY 1989,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1243,Marathon
83,Tsedat Abeje AYANA,18 FEB 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1243,Marathon
84,Hendrik PFEIFFER,18 MAR 1993,GER,https://media.aws.iaaf.org/Flags/GER.gif,1241,Marathon
85,Henok TESFAY,22 NOV 2000,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1240,Marathon
86,Kyohei HOSOYA,31 AUG 1995,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1238,Marathon
87,Shura KITATA,09 JUN 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1237,Marathon
88,Kinde ATANAW,15 APR 1993,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1237,Marathon
89,Koen NAERT,03 SEP 1989,BEL,https://media.aws.iaaf.org/Flags/BEL.gif,1237,Marathon
90,Kemal HUSEN,24 MAY 2003,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1236,Marathon
91,Titus KIPRUTO,25 JUN 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1235,Marathon
92,Kipkemoi KIPRONO,12 SEP 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1235,Marathon
93,Asbel RUTTO,12 FEB 2002,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon
94,Michael KAMAU,25 FEB 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon
95,Philemon RONO,08 FEB 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon
96,Cyrus MUTAI,08 JAN 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon
97,Felix KIPKOECH,01 FEB 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1228,Marathon [Half Marathon]
98,Melaku BELACHEW,19 MAY 1990,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1228,Marathon
99,Boniface KIMUTAI,12 AUG 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1227,Marathon
100,Nicholas KIRWA,16 JUN 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1227,Marathon
101,Kennedy KIMUTAI,03 JUN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1227,Marathon [Half Marathon]
102,Getaneh MOLLA,10 JAN 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1226,Marathon
103,Justus KANGOGO,10 OCT 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1226,Marathon
104,Collins Kipkirui KIPKORIR,2001,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1225,Marathon [Half Marathon]
105,Gebru REDAHGNE,23 MAR 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1224,Marathon
106,Elroy GELANT,25 AUG 1986,RSA,https://media.aws.iaaf.org/Flags/RSA.gif,1224,Marathon
107,Debessay DESALE,11 DEC 1988,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1223,Marathon
108,Isaac MPOFU,20 AUG 1988,ZIM,https://media.aws.iaaf.org/Flags/ZIM.gif,1222,Marathon
109,Benard KIPKORIR,10 OCT 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1222,Marathon
110,Titus Kimutai KIPKOSGEI,08 NOV 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1222,Marathon
111,Iliass AOUANI,29 SEP 1995,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1221,Marathon
112,Adane KEBEDE,1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1220,Marathon
113,Robert KWAMBAI,22 NOV 1985,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1220,Marathon
114,Ashenafi MOGES,15 NOV 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1220,Marathon
115,Simon KARIUKI,01 APR 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1218,Marathon
116,Afewerk MESFIN,12 OCT 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1218,Marathon
117,Sondre Nordstad MOEN,12 JAN 1991,NOR,https://media.aws.iaaf.org/Flags/NOR.gif,1217,Marathon [Half Marathon]
118,Moses KIBET,04 FEB 1997,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1217,Marathon
119,Dejene MEGERSA,24 JAN 2005,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1217,Marathon
120,Berhane Tsegay TEKLE,01 JAN 1983,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1217,Marathon
121,Joel Kemboi KIMURER,21 JAN 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1217,Marathon
122,Tsegaye GETACHEW,30 NOV 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1216,Marathon
123,Bethwel YEGON,05 JAN 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1216,Marathon
124,Leonard LANGAT,02 AUG 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1216,Marathon
125,Michael Mugo GITHAE,26 AUG 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1215,Marathon
126,Jie HE,27 DEC 1998,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1215,Marathon
127,Richard RINGER,27 FEB 1989,GER,https://media.aws.iaaf.org/Flags/GER.gif,1215,Marathon
128,Khalid CHOUKOUD,23 MAR 1986,NED,https://media.aws.iaaf.org/Flags/NED.gif,1214,Marathon
129,Mekuant AYENEW,24 OCT 1991,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1214,Marathon
130,Yuki KAWAUCHI,05 MAR 1987,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1213,Marathon
131,Edward CHESEREK,02 FEB 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1213,Marathon [Half Marathon]
132,Yemaneberhan CRIPPA,15 OCT 1996,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1212,Marathon [Half Marathon]
133,Nicolas NAVARRO,12 MAR 1991,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1212,Marathon
134,Brett ROBINSON,08 MAY 1991,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1212,Marathon
135,Ken NAKAYAMA,24 FEB 1997,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1211,Marathon
136,Samuel FITWI SIBHATU,01 JAN 1996,GER,https://media.aws.iaaf.org/Flags/GER.gif,1211,Marathon
137,Yohei IKEDA,22 JUN 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1209,Marathon
138,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1209,Marathon
139,Guojian DONG,16 MAR 1987,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1209,Marathon
140,Suguru OSAKO,23 MAY 1991,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1209,Marathon
141,Timothy KIPKORIR,03 OCT 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1208,Marathon
142,Gebise DEBELE,11 SEP 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1207,Marathon
143,Pius KARANJA,15 APR 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1207,Marathon
144,Peiyou FENG,01 AUG 2001,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1207,Marathon
145,Mehdi FRÈRE,27 JUL 1996,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1206,Marathon [Half Marathon]
146,Tetsuya YOROIZAKA,20 MAR 1990,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1206,Marathon
147,Dejene DEBELA,09 JAN 1995,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1206,Marathon
148,Abraham KIPTOO,16 JUL 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1206,Marathon
149,Addisu GOBENA,20 OCT 2004,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1205,Marathon [Half Marathon]
150,Joshua KOGO,1987,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1204,Marathon
151,Tesfaye Lencho ANBESA,1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1203,Marathon
152,Challa GOSSA,2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1201,Marathon
153,Paul LONYANGATA,12 DEC 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1201,Marathon
154,Gebretsadik ABRAHA,16 JUL 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1201,Marathon
155,Mathew SAMPERU,01 JUL 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1200,Marathon [Half Marathon]
156,Abderrazak CHARIK,19 SEP 1997,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1200,Marathon
157,Philip SESEMANN,03 OCT 1992,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1200,Marathon
158,Samuel BARATA,19 JUL 1993,POR,https://media.aws.iaaf.org/Flags/POR.gif,1200,Marathon [Half Marathon]
159,Berhane TESFAY,09 JAN 1987,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1199,Marathon
160,Mitku TAFA,,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1199,Marathon
161,Dominic LETTING,10 NOV 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1199,Marathon
162,Daisuke DOI,06 NOV 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1198,Marathon
163,Bethwell KIPKEMBOI,06 APR 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1198,Marathon
164,Hugo CATRILEO,27 JAN 1997,CHI,https://media.aws.iaaf.org/Flags/CHI.gif,1198,Marathon
165,Bedan KAROKI,21 AUG 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1198,Marathon [Half Marathon]
166,Wisley KIMELI,2000,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon
167,Solomon SUTER,22 DEC 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon
168,Albert KANGOGO,16 AUG 1987,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon
169,Denis CHIRCHIR,15 JAN 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon
170,Gerba DIBABA,14 OCT 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1197,Marathon [Half Marathon]
171,Merhawi KESETE,01 JAN 1986,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1197,Marathon
172,Lameck TOO,1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1196,Marathon
173,Solomon MUTAI,22 OCT 1992,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1196,Marathon
174,Wilfred Kirwa KIGEN,21 JAN 1986,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1195,Marathon
175,Birhan NEBEBEW,14 AUG 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1195,Marathon
176,Daniel DO NASCIMENTO,28 JUL 1998,BRA,https://media.aws.iaaf.org/Flags/BRA.gif,1195,Marathon
177,Lemi DUMECHA,12 SEP 1995,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1194,Marathon
178,Patrick TIERNAN,11 SEP 1994,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1194,Marathon
179,Tianyu CHEN,11 MAY 1997,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1194,Marathon
180,Tesfa WOKNETH,30 SEP 1984,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1193,Marathon
181,CJ ALBERTSON,11 OCT 1993,USA,https://media.aws.iaaf.org/Flags/USA.gif,1193,Marathon
182,Douglas CHEBII,01 NOV 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1193,Marathon
183,Liam ADAMS,04 SEP 1986,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1192,Marathon
184,Boaz KIPKEMEI,1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1192,Marathon
185,Elvis Kipchoge CHEBOI,29 SEP 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1192,Marathon
186,Kibrom WELDEMICAEL,01 FEB 1987,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1192,Marathon
187,Asefa MENGISA,14 MAY 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1191,Marathon
188,Sila KIPTOO,05 MAY 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1190,Marathon
189,Sebastian HENDEL,01 DEC 1995,GER,https://media.aws.iaaf.org/Flags/GER.gif,1190,Marathon
190,Goitom KIFLE,03 DEC 1993,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1190,Marathon
191,Gilbert KIBET,1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1189,Marathon [Half Marathon]
192,Jacob Sommer SIMONSEN,01 JAN 1995,DEN,https://media.aws.iaaf.org/Flags/DEN.gif,1189,Marathon
193,Panuel MKUNGO,04 JAN 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1188,Marathon
194,Sammy Kigen KORIR,22 SEP 1985,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1188,Marathon
195,Fikre BEKELE,11 SEP 1998,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1188,Marathon
196,Ibrahim CHAKIR,04 SEP 1994,ESP,https://media.aws.iaaf.org/Flags/ESP.gif,1187,Marathon
197,Felix BOUR,25 MAR 1994,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1187,Marathon [Half Marathon]
198,Tariku NOVALES,08 MAR 1998,ESP,https://media.aws.iaaf.org/Flags/ESP.gif,1186,Marathon
199,Leonard BARSOTON,21 OCT 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1186,Marathon
200,Mark Kosgei KIPTOO,21 JUN 1976,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1186,Marathon
201,Haftom WELDAY,13 MAR 1990,GER,https://media.aws.iaaf.org/Flags/GER.gif,1186,Marathon
202,Mulugeta DEBASU,2005,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1185,Marathon [Half Marathon]
203,Takashi ICHIDA,16 JUN 1992,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1185,Marathon
204,Aredom DEGEFA,21 NOV 1993,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1185,Marathon
205,Yusuke TAMURA,23 DEC 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1185,Marathon
206,Brian SHRADER,22 JUL 1991,USA,https://media.aws.iaaf.org/Flags/USA.gif,1185,Marathon
207,Abdi Ali GELELCHU,01 AUG 1997,BRN,https://media.aws.iaaf.org/Flags/BRN.gif,1185,Marathon
208,Vincent Kibor RAIMOI,16 JUL 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1184,Marathon
209,Raymond Kipchumba CHOGE,02 JAN 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1184,Marathon
210,Reuben KERIO,02 JUN 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1184,Marathon
211,Charles MUNERIA,10 FEB 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1184,Marathon
212,Ibrahim HASSAN,01 JAN 1997,DJI,https://media.aws.iaaf.org/Flags/DJI.gif,1183,Marathon [Half Marathon]
213,Kibrom DESTA HABTU,1993,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1183,Marathon
214,Nekagenet CRIPPA,16 SEP 1994,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1183,Marathon
215,Hillary KIPCHUMBA,25 NOV 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1183,Marathon
216,Mesfin NEGUS,,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1182,Marathon
217,Daniele MEUCCI,07 OCT 1985,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1182,Marathon
218,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,https://media.aws.iaaf.org/Flags/TUR.gif,1182,Marathon
219,Alene BELAY,11 SEP 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1181,Marathon
220,Shohei OTSUKA,13 AUG 1994,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1181,Marathon
221,Michael SOMERS,02 MAR 1995,BEL,https://media.aws.iaaf.org/Flags/BEL.gif,1181,Marathon
222,Martin MUSAU,05 OCT 1998,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1181,Marathon
223,Amos KIPRUTO,16 SEP 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1180,Marathon [Half Marathon]
224,Silas TOO,13 JAN 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1180,Marathon
225,Fredrick KIBII,1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1180,Marathon
226,Tatsuya MARUYAMA,29 JUL 1994,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1179,Marathon [Half Marathon]
227,Petro MAMU,01 SEP 1985,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1179,Marathon
228,Girmaw AMARE,26 OCT 1987,ISR,https://media.aws.iaaf.org/Flags/ISR.gif,1178,Marathon [Half Marathon]
229,Eyob FANIEL,26 NOV 1992,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1178,Marathon [Half Marathon]
230,Yuichi YASUI,19 MAY 1995,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1178,Marathon
231,Omar Ait CHITACHEN,15 MAR 1995,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1178,Marathon [Half Marathon]
232,Brian KIPSANG,26 AUG 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1177,Marathon
233,Dickson KIPTOO,1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1177,Marathon
234,Felix KIBITOK,09 JUN 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1176,Marathon
