Place,Competitor,DOB,Nat,Nat.1_SRC,Score,Event_List,Athlete_URL
62,Bernard Kiprop KOECH,31 JAN 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1262,Marathon,/athletes/kenya/bernard-kiprop-koech-14423647
63,Clayton YOUNG,14 SEP 1993,USA,https://media.aws.iaaf.org/Flags/USA.gif,1260,Marathon,/athletes/united-states/clayton-young-14693199
64,Balew YIHUNLE,21 SEP 1998,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1259,Marathon,/athletes/ethiopia/balew-yihunle-014863951
65,Andualem BELAY,05 APR 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1258,Marathon,/athletes/ethiopia/andualem-belay-14512177
66,Victor KIPLANGAT,10 NOV 1999,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1258,Marathon,/athletes/uganda/victor-kiplangat-14760499
67,Chala REGASA,30 APR 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1258,Marathon,/athletes/ethiopia/chala-regasa-014650107
68,Morhad AMDOUNI,21 JUN 1988,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1256,Marathon,/athletes/france/morhad-amdouni-14182867
69,Haimro ALAME,08 JUN 1990,ISR,https://media.aws.iaaf.org/Flags/ISR.gif,1255,Marathon,/athletes/israel/haimro-alame-14584604
70,Bazezew ASMARE,11 SEP 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1253,Marathon,/athletes/ethiopia/bazezew-asmare-14862215
71,Maru TEFERI,17 AUG 1992,ISR,https://media.aws.iaaf.org/Flags/ISR.gif,1253,Marathon,/athletes/israel/maru-teferi-14526757
72,Oqbe Kibrom RUESOM,01 JAN 1998,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1251,Marathon,/athletes/eritrea/oqbe-kibrom-ruesom-14919658
73,Kenneth KETER,04 AUG 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1250,Marathon,/athletes/kenya/kenneth-keter-014720219
74,Shaohui YANG,09 JUL 1992,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1250,Marathon,/athletes/pr-of-china/shaohui-yang-14523268
75,Samsom AMARE,01 JAN 1994,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1250,Marathon,/athletes/eritrea/samsom-amare-14812838
76,Josphat BOIT,25 NOV 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1249,Marathon,/athletes/kenya/josphat-boit-014839976
77,Stephen KISSA,01 DEC 1988,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1247,Marathon,/athletes/uganda/stephen-kissa-14677961
78,Mahamed MAHAMED,18 SEP 1997,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1245,Marathon,/athletes/great-britain-ni/mahamed-mahamed-14642902
79,Naoki KOYAMA,12 MAY 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1245,Marathon,/athletes/japan/naoki-koyama-14740573
80,Yihunilign ADANE,29 FEB 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1245,Marathon,/athletes/ethiopia/yihunilign-adane-014577962
81,Tafese DELELEGN,11 SEP 1989,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1244,Marathon,/athletes/ethiopia/tafese-delelegn-14686453
82,Hassan CHAHDI,07 MAY 1989,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1243,Marathon,/athletes/france/hassan-chahdi-14183770
83,Tsedat Abeje AYANA,18 FEB 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1243,Marathon,/athletes/ethiopia/tsedat-abeje-ayana-014579465
84,Hendrik PFEIFFER,18 MAR 1993,GER,https://media.aws.iaaf.org/Flags/GER.gif,1241,Marathon,/athletes/germany/hendrik-pfeiffer-14429726
85,Henok TESFAY,22 NOV 2000,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1240,Marathon,/athletes/eritrea/henok-tesfay-14935352
86,Kyohei HOSOYA,31 AUG 1995,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1238,Marathon,/athletes/japan/kyohei-hosoya-14569141
87,Shura KITATA,09 JUN 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1237,Marathon,/athletes/ethiopia/shura-kitata-14730723
88,Kinde ATANAW,15 APR 1993,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1237,Marathon,/athletes/ethiopia/kinde-atanaw-014534413
89,Koen NAERT,03 SEP 1989,BEL,https://media.aws.iaaf.org/Flags/BEL.gif,1237,Marathon,/athletes/belgium/koen-naert-14329163
90,Kemal HUSEN,24 MAY 2003,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1236,Marathon,/athletes/ethiopia/kemal-husen-15056477
91,Titus KIPRUTO,25 JUN 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1235,Marathon,/athletes/kenya/titus-kipruto-15007785
92,Kipkemoi KIPRONO,12 SEP 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1235,Marathon,/athletes/kenya/kipkemoi-kiprono-014791387
93,Asbel RUTTO,12 FEB 2002,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon,/athletes/kenya/asbel-rutto-15006125
94,Michael KAMAU,25 FEB 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon,/athletes/kenya/michael-kamau-14207800
95,Philemon RONO,08 FEB 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon,/athletes/kenya/philemon-rono-014420235
96,Cyrus MUTAI,08 JAN 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1232,Marathon,/athletes/kenya/cyrus-mutai-014855726
97,Felix KIPKOECH,01 FEB 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1228,Marathon [Half Marathon],/athletes/kenya/felix-kipkoech-014878207
98,Melaku BELACHEW,19 MAY 1990,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1228,Marathon,/athletes/ethiopia/melaku-belachew-014555208
99,Boniface KIMUTAI,12 AUG 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1227,Marathon,/athletes/kenya/boniface-kimutai-14886044
100,Nicholas KIRWA,16 JUN 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1227,Marathon,/athletes/kenya/nicholas-kirwa-014812861
101,Kennedy KIMUTAI,03 JUN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1227,Marathon [Half Marathon],/athletes/kenya/kennedy-kimutai-014847931
102,Getaneh MOLLA,10 JAN 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1226,Marathon,/athletes/ethiopia/getaneh-molla-14635616
103,Justus KANGOGO,10 OCT 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1226,Marathon,/athletes/kenya/justus-kangogo-014680895
104,Collins Kipkirui KIPKORIR,2001,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1225,Marathon [Half Marathon],/athletes/kenya/collins-kipkirui-kipkorir-14997361
105,Gebru REDAHGNE,23 MAR 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1224,Marathon,/athletes/ethiopia/gebru-redahgne-15002247
106,Elroy GELANT,25 AUG 1986,RSA,https://media.aws.iaaf.org/Flags/RSA.gif,1224,Marathon,/athletes/south-africa/elroy-gelant-14220053
107,Debessay DESALE,11 DEC 1988,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1223,Marathon,/athletes/eritrea/debessay-desale-14935359
108,Isaac MPOFU,20 AUG 1988,ZIM,https://media.aws.iaaf.org/Flags/ZIM.gif,1222,Marathon,/athletes/zimbabwe/isaac-mpofu-14654920
109,Benard KIPKORIR,10 OCT 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1222,Marathon,/athletes/kenya/benard-kipkorir-15048801
110,Titus Kimutai KIPKOSGEI,08 NOV 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1222,Marathon,/athletes/kenya/titus-kimutai-kipkosgei-15020605
111,Iliass AOUANI,29 SEP 1995,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1221,Marathon,/athletes/italy/iliass-aouani-14585136
112,Adane KEBEDE,1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1220,Marathon,/athletes/ethiopia/adane-kebede-14932836
113,Robert KWAMBAI,22 NOV 1985,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1220,Marathon,/athletes/kenya/robert-kwambai-014465396
114,Ashenafi MOGES,15 NOV 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1220,Marathon,/athletes/ethiopia/ashenafi-moges-14696544
115,Simon KARIUKI,01 APR 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1218,Marathon,/athletes/kenya/simon-kariuki-014703351
116,Afewerk MESFIN,12 OCT 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1218,Marathon,/athletes/ethiopia/afewerk-mesfin-014428737
117,Sondre Nordstad MOEN,12 JAN 1991,NOR,https://media.aws.iaaf.org/Flags/NOR.gif,1217,Marathon [Half Marathon],/athletes/norway/sondre-nordstad-moen-14215417
118,Moses KIBET,04 FEB 1997,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1217,Marathon,/athletes/kenya/moses-kibet-14746654
119,Dejene MEGERSA,24 JAN 2005,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1217,Marathon,/athletes/ethiopia/dejene-megersa-15054327
120,Berhane Tsegay TEKLE,01 JAN 1983,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1217,Marathon,/athletes/eritrea/berhane-tsegay-tekle-14555147
121,Joel Kemboi KIMURER,21 JAN 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1217,Marathon,/athletes/kenya/joel-kemboi-kimurer-014208131
122,Tsegaye GETACHEW,30 NOV 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1216,Marathon,/athletes/ethiopia/tsegaye-getachew-14732971
123,Bethwel YEGON,05 JAN 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1216,Marathon,/athletes/kenya/bethwel-yegon-014520789
124,Leonard LANGAT,02 AUG 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1216,Marathon,/athletes/kenya/leonard-langat-014657138
125,Michael Mugo GITHAE,26 AUG 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1215,Marathon,/athletes/kenya/michael-mugo-githae-14644141
126,Jie HE,27 DEC 1998,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1215,Marathon,/athletes/pr-of-china/jie-he-14795227
127,Richard RINGER,27 FEB 1989,GER,https://media.aws.iaaf.org/Flags/GER.gif,1215,Marathon,/athletes/germany/richard-ringer-14193865
128,Khalid CHOUKOUD,23 MAR 1986,NED,https://media.aws.iaaf.org/Flags/NED.gif,1214,Marathon,/athletes/netherlands/khalid-choukoud-14213752
129,Mekuant AYENEW,24 OCT 1991,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1214,Marathon,/athletes/ethiopia/mekuant-ayenew-14509843
130,Yuki KAWAUCHI,05 MAR 1987,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1213,Marathon,/athletes/japan/yuki-kawauchi-014203841
131,Edward CHESEREK,02 FEB 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1213,Marathon [Half Marathon],/athletes/kenya/edward-cheserek-014463987
132,Yemaneberhan CRIPPA,15 OCT 1996,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1212,Marathon [Half Marathon],/athletes/italy/yemaneberhan-crippa-14513998
133,Nicolas NAVARRO,12 MAR 1991,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1212,Marathon,/athletes/france/nicolas-navarro-14624740
134,Brett ROBINSON,08 MAY 1991,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1212,Marathon,/athletes/australia/brett-robinson-14336706
135,Ken NAKAYAMA,24 FEB 1997,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1211,Marathon,/athletes/japan/ken-nakayama-014740650
136,Samuel FITWI SIBHATU,01 JAN 1996,GER,https://media.aws.iaaf.org/Flags/GER.gif,1211,Marathon,/athletes/germany/samuel-fitwi-sibhatu-14773664
137,Yohei IKEDA,22 JUN 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1209,Marathon,/athletes/japan/yohei-ikeda-14764466
138,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1209,Marathon,/athletes/eritrea/ghirmay-ghebreslassie-014526656
139,Guojian DONG,16 MAR 1987,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1209,Marathon,/athletes/pr-of-china/guojian-dong-14172732
140,Suguru OSAKO,23 MAY 1991,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1209,Marathon,/athletes/japan/suguru-osako-14335060
141,Timothy KIPKORIR,03 OCT 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1208,Marathon,/athletes/kenya/timothy-kipkorir-14758179
142,Gebise DEBELE,11 SEP 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1207,Marathon,/athletes/ethiopia/gebise-debele-15114781
143,Pius KARANJA,15 APR 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1207,Marathon,/athletes/kenya/pius-karanja-14796110
144,Peiyou FENG,01 AUG 2001,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1207,Marathon,/athletes/pr-of-china/peiyou-feng-14913520
145,Mehdi FRÈRE,27 JUL 1996,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1206,Marathon [Half Marathon],/athletes/france/mehdi-frere-14592128
146,Tetsuya YOROIZAKA,20 MAR 1990,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1206,Marathon,/athletes/japan/tetsuya-yoroizaka-14327538
147,Dejene DEBELA,09 JAN 1995,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1206,Marathon,/athletes/ethiopia/dejene-debela-014649282
148,Abraham KIPTOO,16 JUL 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1206,Marathon,/athletes/kenya/abraham-kiptoo-15028729
149,Addisu GOBENA,20 OCT 2004,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1205,Marathon [Half Marathon],/athletes/ethiopia/addisu-gobena-15113613
150,Joshua KOGO,1987,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1204,Marathon,/athletes/kenya/joshua-kogo-14766284
151,Tesfaye Lencho ANBESA,1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1203,Marathon,/athletes/ethiopia/tesfaye-lencho-anbesa-014788972
152,Challa GOSSA,2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1201,Marathon,/athletes/ethiopia/challa-gossa-15069501
153,Paul LONYANGATA,12 DEC 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1201,Marathon,/athletes/kenya/paul-lonyangata-014425821
154,Gebretsadik ABRAHA,16 JUL 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1201,Marathon,/athletes/ethiopia/gebretsadik-abraha-014413321
155,Mathew SAMPERU,01 JUL 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1200,Marathon [Half Marathon],/athletes/kenya/mathew-samperu-14902721
156,Abderrazak CHARIK,19 SEP 1997,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1200,Marathon,/athletes/france/abderrazak-charik-14648912
157,Philip SESEMANN,03 OCT 1992,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1200,Marathon,/athletes/great-britain-ni/philip-sesemann-14423383
158,Samuel BARATA,19 JUL 1993,POR,https://media.aws.iaaf.org/Flags/POR.gif,1200,Marathon [Half Marathon],/athletes/portugal/samuel-barata-14428288
159,Berhane TESFAY,09 JAN 1987,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1199,Marathon,/athletes/eritrea/berhane-tesfay-014753679
160,Mitku TAFA,,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1199,Marathon,/athletes/ethiopia/mitku-tafa-14820089
161,Dominic LETTING,10 NOV 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1199,Marathon,/athletes/kenya/dominic-letting-014766282
162,Daisuke DOI,06 NOV 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1198,Marathon,/athletes/japan/daisuke-doi-014728615
163,Bethwell KIPKEMBOI,06 APR 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1198,Marathon,/athletes/kenya/bethwell-kipkemboi-14807871
164,Hugo CATRILEO,27 JAN 1997,CHI,https://media.aws.iaaf.org/Flags/CHI.gif,1198,Marathon,/athletes/chile/hugo-catrileo-14664411
165,Bedan KAROKI,21 AUG 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1198,Marathon [Half Marathon],/athletes/kenya/bedan-karoki-014327782
166,Wisley KIMELI,2000,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon,/athletes/kenya/wisley-kimeli-15070219
167,Solomon SUTER,22 DEC 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon,/athletes/kenya/solomon-suter-15142396
168,Albert KANGOGO,16 AUG 1987,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon,/athletes/kenya/albert-kangogo-014730751
169,Denis CHIRCHIR,15 JAN 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1197,Marathon,/athletes/kenya/denis-chirchir-014837552
