Place,Competitor,DOB,Nationality,Score,Date,res,city,place
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 19 FEB 2023,ESP,Sevilla,15
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 13 OCT 2024,USA,Chicago,F
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 07 JUL 2024,Hengelo,FBK Stadium,1
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 02 JUN 2024,ESP,Madrid,F
22, Dawit WOLDE,19 MAY 1991, ETH, 1325, 21 APR 2024,GBR,London,39
23, Stephen KIPROP,08 SEP 1999, KEN, 1323, 03 DEC 2023,ESP,Valencia,11
23, Stephen KIPROP,08 SEP 1999, KEN, 1323, 22 OCT 2023,ESP,Valencia,6
24, Milkesa MENGESHA,16 APR 2000, ETH, 1321, 27 AUG 2023,ESP,Budapest 2023,6
24, Milkesa MENGESHA,16 APR 2000, ETH, 1321, 21 MAY 2023,IND,Bengaluru,1
24, Milkesa MENGESHA,16 APR 2000, ETH, 1321, 02 APR 2023,KOR,Daegu,9
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 05 NOV 2023,USA,New York,4
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 01 OCT 2023,LAT,Riga,2
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 27 AUG 2023,GBR,Larne,4
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 04 JUL 2023,USA,Atlanta,1
25, Jemal MEKONEN,11 SEP 1996, ETH, 1319, 07 MAY 2023,WA,Spokane,4
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 15 OCT 2023,NED,Amsterdam,10
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 21 MAY 2023,IND,Bengaluru,F
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 23 APR 2023,GBR,London,2
26, Birhanu LEGESE,11 SEP 1994, ETH, 1319, 19 FEB 2023,ESP,Barcelona,3
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 26 NOV 2023,CHN,Shanghai,8
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 17 SEP 2023,DEN,København,1
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 14 MAY 2023,DEN,København,3
27, Solomon Kirwa YEGO,10 MAY 1987, KEN, 1317, 19 FEB 2023,ESP,Barcelona,2
28, Felix KIRWA,08 OCT 1995, KEN, 1317, 29 OCT 2023,CHN,Chengdu,1
28, Felix KIRWA,08 OCT 1995, KEN, 1317, 30 APR 2023,CHN,Yichang,3
28, Felix KIRWA,08 OCT 1995, KEN, 1317, 16 APR 2023,CHN,Shanghai,4
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 17 DEC 2023,IND,Kolkata,8
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 15 OCT 2023,NED,Amsterdam,3
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 11 JUN 2023,CHN,Lanzhou,3
29, Haymanot ALEW,11 NOV 1997, ETH, 1313, 12 FEB 2023,UAE,Dubai,4
30, John KORIR,02 DEC 1996, KEN, 1311, 08 OCT 2023,USA,Chicago,2
30, John KORIR,02 DEC 1996, KEN, 1311, 20 AUG 2023,USA,Falmouth High School,10
30, John KORIR,02 DEC 1996, KEN, 1311, 28:35.75 ,USA,Kenyan Championships,9
30, John KORIR,02 DEC 1996, KEN, 1311, 17 APR 2023,USA,Boston,5
31, Seifu TURA,19 JUN 1997, ETH, 1311, 08 OCT 2023,USA,Chicago,5
31, Seifu TURA,19 JUN 1997, ETH, 1311, 23 APR 2023,GBR,London,7
32, Chalu DESO,14 DEC 1997, ETH, 1308, 03 DEC 2023,ESP,Valencia,1
32, Chalu DESO,14 DEC 1997, ETH, 1308, 05 MAR 2023,JPN,Tokyo,2
33, Albert KORIR,02 MAR 1994, KEN, 1307, 05 NOV 2023,USA,New York,4
33, Albert KORIR,02 MAR 1994, KEN, 1307, 17 APR 2023,USA,Boston,6
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 03 DEC 2023,ESP,Valencia,1
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 22 OCT 2023,ESP,Valencia,4
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 27:47.3h ,ESP,Trials For World Athletics Championships Budapest 2023,1
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 27:52.69 ,ESP,Kenyan Championships,1
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 26 MAY 2023,ESP,Ulinzi Sports Complex,2
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 24 MAY 2023,ESP,Ulinzi Sports Complex,1
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 28:19.32 ,ESP,Kenya Defence Forces Championships,2
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 29 APR 2023,GER,Adi-Dassler-Straße 1,5
34, Kibiwott KANDIE,20 JUN 1996, KEN, 1307, 18 FEB 2023,AUS,Bathurst,2
35, Mohamed ESA,11 SEP 2000, ETH, 1305, 13 OCT 2024,USA,Chicago,2
35, Mohamed ESA,11 SEP 2000, ETH, 1305, 15 APR 2024,USA,Boston,2
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 26 NOV 2023,CHN,Shanghai,2
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 29 OCT 2023,SUI,Luzern - World Military Championships,F
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 27 AUG 2023,Hősök tere,Budapest 2023,2
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 16 APR 2023,CHN,Yangzhou,3
36, Alphonce Felix SIMBU,14 FEB 1992, TAN, 1304, 26 FEB 2023,JPN,Osaka,1
37, Philimon Kiptoo KIPCHUMBA,16 OCT 1998, KEN, 1302, 26 NOV 2023,CHN,Shanghai,1
37, Philimon Kiptoo KIPCHUMBA,16 OCT 1998, KEN, 1302, 02 APR 2023,CHN,Xiamen,1
37, Philimon Kiptoo KIPCHUMBA,16 OCT 1998, KEN, 1302, 12 FEB 2023,HKG,Hong Kong,4
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 05 NOV 2023,USA,New York,F
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 27 AUG 2023,Hősök tere,Budapest 2023,3
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 16 APR 2023,NED,Rotterdam,7
38, Abdi NAGEEYE,02 MAR 1989, NED, 1302, 19 FEB 2023,ESP,Barcelona,3
39, Leul GEBRESILASE,20 SEP 1992, ETH, 1297, 27 AUG 2023,ESP,Budapest 2023,4
39, Leul GEBRESILASE,20 SEP 1992, ETH, 1297, 23 APR 2023,GBR,London,1
39, Leul GEBRESILASE,20 SEP 1992, ETH, 1297, 15 JAN 2023,USA,Houston,2
40, Conner MANTZ,08 DEC 1996, USA, 1296, 23 NOV 2023,CT - Non-standard distance 4.748 Mile,Manchester,6
40, Conner MANTZ,08 DEC 1996, USA, 1296, 08 OCT 2023,USA,Chicago,2
40, Conner MANTZ,08 DEC 1996, USA, 1296, 04 SEP 2023,USA,New Haven,2
40, Conner MANTZ,08 DEC 1996, USA, 1296, 05 AUG 2023,USA,1000 Shore Road,10
40, Conner MANTZ,08 DEC 1996, USA, 1296, 09 JUL 2023,USA,Hayward Field,6
40, Conner MANTZ,08 DEC 1996, USA, 1296, 28:29.36 ,USA,USA Championships,2
40, Conner MANTZ,08 DEC 1996, USA, 1296, 16 JUN 2023,USA,Hayward Field,11
40, Conner MANTZ,08 DEC 1996, USA, 1296, 17 APR 2023,USA,Boston,4
40, Conner MANTZ,08 DEC 1996, USA, 1296, 27:25.30 ,USA,The TEN,6
40, Conner MANTZ,08 DEC 1996, USA, 1296, 15 JAN 2023,USA,Houston,F
41, Ronald KORIR,10 APR 1991, KEN, 1294, 03 DEC 2023,JPN,Fukuoka,F
41, Ronald KORIR,10 APR 1991, KEN, 1294, 03 DEC 2023,JPN,Fukuoka,4
41, Ronald KORIR,10 APR 1991, KEN, 1294, 24 SEP 2023,GER,Berlin,5
42, Lemi BERHANU,13 SEP 1994, ETH, 1291, 15 OCT 2023,NED,Amsterdam,4
42, Lemi BERHANU,13 SEP 1994, ETH, 1291, 11 JUN 2023,CHN,Lanzhou,1
42, Lemi BERHANU,13 SEP 1994, ETH, 1291, 15 JAN 2023,IND,Mumbai,9
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 03 DEC 2023,SUI,Genève - Non-standard distance 7.323,11
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 24 SEP 2023,GER,Berlin,2
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 07 MAY 2023,SUI,Genève,6
43, Tadesse ABRAHAM,12 AUG 1982, SUI, 1290, 19 MAR 2023,ESP,Barcelona,4
44, Tebello RAMAKONGOANA,13 OCT 1996, LES, 1285, 27 AUG 2023,ESP,Budapest 2023,2
44, Tebello RAMAKONGOANA,13 OCT 1996, LES, 1285, 03 JUN 2023,RSA,Gqeberha,1
44, Tebello RAMAKONGOANA,13 OCT 1996, LES, 1285, 12 MAR 2023,RSA,Durban,20
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 27:48.09 ,RSA,Hachioji Long Distance,2
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 15 OCT 2023,JPN,Tokyo,1
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 12 JUL 2023,JPN,Municipal Stadium,3
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 08 JUL 2023,JPN,Athletic Track,23
45, Akira AKASAKI,21 JAN 1998, JPN, 1280, 12 FEB 2023,JPN,Ishin Me-Life Stadium,9
46, Amanal PETROS,17 MAY 1995, GER, 1280, 24 SEP 2023,GER,Berlin,4
46, Amanal PETROS,17 MAY 1995, GER, 1280, 27:47.62 ,GER,Memorial van Damme,1
46, Amanal PETROS,17 MAY 1995, GER, 1280, 26 MAR 2023,GER,Hannover,4
46, Amanal PETROS,17 MAY 1995, GER, 1280, 26 FEB 2023,ESP,Castellón,8
46, Amanal PETROS,17 MAY 1995, GER, 1280, 18 FEB 2023,UAE,Ras Al Khaimah,18
46, Amanal PETROS,17 MAY 1995, GER, 1280, 15 JAN 2023,ESP,Valencia,4
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 17 DEC 2023,THA,Chon Buri,5
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 26 NOV 2023,CHN,Shanghai,F
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 24 SEP 2023,GER,Berlin,1
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 19 MAR 2023,CHN,Wuxi,6
47, Enock ONCHARI,16 JAN 1999, KEN, 1278, 19 FEB 2023,ESP,Sevilla,1
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 12 NOV 2023,GRE,Athina,8
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 08 OCT 2023,NED,Eindhoven,3
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 24 SEP 2023,NED,Tilburg,3
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 27 AUG 2023,MEX,Ciudad de México,7
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 29 APR 2023,GER,Adi-Dassler-Straße 1,7
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 19 MAR 2023,KOR,Seoul,4
48, Edwin KIPTOO,14 AUG 1993, KEN, 1276, 26 FEB 2023,MEX,Guadalajara,2
49, Laban Kipngetich KORIR,30 JUN 1985, KEN, 1275, 17 SEP 2023,AUS,presented by Asics,8
49, Laban Kipngetich KORIR,30 JUN 1985, KEN, 1275, 02 APR 2023,FRA,Paris,2
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 12 NOV 2023,GRE,Athina,5
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 27 AUG 2023,MEX,Ciudad de México,5
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 23 APR 2023,GER,Hamburg,2
50, Rhonzas Lokitam KILIMO,05 SEP 1996, KEN, 1273, 26 FEB 2023,MEX,Guadalajara,10
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 03 DEC 2023,ESP,Valencia,1
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 10 JUN 2023,ISR,Hadar Yosef Stadium,1
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 10 JUN 2023,ISR,Hadar Yosef Stadium,4
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 28:15.32 ,ISR,European 10,16
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 28:08.39 ,ISR,Night of the 10,4
51, Gashau AYALE,22 AUG 1996, ISR, 1271, 19 FEB 2023,ESP,Sevilla,1
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 22 OCT 2023,SLO,Ljubljana,9
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 26 MAY 2023,SLO,Ulinzi Sports Complex,6
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 24 MAY 2023,SLO,Ulinzi Sports Complex,3
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 27 APR 2023,KEN,Nyayo National Stadium,2
52, Edmond KIPNGETICH,30 MAR 1994, KEN, 1269, 05 FEB 2023,ESP,Granollers,8
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 24 SEP 2023,GER,Berlin,8
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 04 JUL 2023,USA,Atlanta,1
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 01 MAY 2023,FRA,Le Puy-en-Velay,6
53, Philemon KIPLIMO,10 OCT 1998, KEN, 1268, 02 APR 2023,GER,Berlin,F
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 05 NOV 2023,NY,New York,11
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 25 JUN 2023,USA,Boston,5
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 17 APR 2023,USA,Boston,3
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 19 MAR 2023,USA,New York,F2
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 10 FEB 2023,Fayetteville,Randal Tyson Indoor Center,5
54, Zouhair TALBI,08 APR 1995, MAR, 1268, 15 JAN 2023,USA,Houston,12
55, Derseh KINDIE,04 FEB 1999, ETH, 1266, 03 DEC 2023,ESP,Valencia,F
55, Derseh KINDIE,04 FEB 1999, ETH, 1266, 20 JAN 2023,QAT,Doha,6
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 09 DEC 2023,KSA,Al Khobar,15
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 29 OCT 2023,GER,Frankfurt,3
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 01 OCT 2023,LAT,Riga,1
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 25 JUN 2023,GER,Hamburg,1
56, Samwel Nyamai MAILU,07 FEB 1993, KEN, 1265, 23 APR 2023,AUT,Wien,2
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 05 NOV 2023,KOR,Seoul,2
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 17 SEP 2023,POR,Porto,4
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 02 APR 2023,KOR,Daegu,F
57, Mike Kiptum BOIT,14 SEP 1992, KEN, 1264, 05 MAR 2023,JPN,Tokyo,2
58, Mulugeta Asefa UMA,12 MAR 1998, ETH, 1264, 29 OCT 2023,GER,Frankfurt,5
58, Mulugeta Asefa UMA,12 MAR 1998, ETH, 1264, 17 SEP 2023,NED,Zaandam,7
58, Mulugeta Asefa UMA,12 MAR 1998, ETH, 1264, 19 FEB 2023,ESP,Sevilla,5
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 24 SEP 2023,GER,Berlin,2
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 10 JUN 2023,NED,Zwolle,3
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 30 APR 2023,TUR,Istanbul,3
59, Haftu TEKLU,21 JAN 2000, ETH, 1262, 19 MAR 2023,KOR,Seoul,14
60, Tadu ABATE,11 SEP 1997, ETH, 1262, 24 SEP 2023,GER,Berlin,6
60, Tadu ABATE,11 SEP 1997, ETH, 1262, 05 MAR 2023,JPN,Tokyo,1
61, Kenneth Kiprop KIPKEMOI,02 AUG 1984, KEN, 1262, 08 OCT 2023,NED,Eindhoven,9
61, Kenneth Kiprop KIPKEMOI,02 AUG 1984, KEN, 1262, 16 APR 2023,NED,Rotterdam,2
62, Bernard Kiprop KOECH,31 JAN 1988, KEN, 1262, 17 SEP 2023,DEN,København,1
62, Bernard Kiprop KOECH,31 JAN 1988, KEN, 1262, 23 APR 2023,GER,Hamburg,7
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 08 OCT 2023,USA,Chicago,1
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 04 SEP 2023,USA,New Haven,5
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 20 AUG 2023,USA,Falmouth High School,1
63, Clayton YOUNG,14 SEP 1993, USA, 1260, 15 JUL 2023,TN,Kingsport,1
64, Balew YIHUNLE,21 SEP 1998, ETH, 1259, 05 NOV 2023,KOR,Seoul,1
64, Balew YIHUNLE,21 SEP 1998, ETH, 1259, 11 FEB 2023,KSA,Riyadh,6
65, Andualem BELAY,05 APR 1992, ETH, 1258, 24 SEP 2023,GER,Berlin,15
65, Andualem BELAY,05 APR 1992, ETH, 1258, 17 APR 2023,USA,Boston,1
66, Victor KIPLANGAT,10 NOV 1999, UGA, 1258, 27 AUG 2023,USA,Budapest 2023,2
66, Victor KIPLANGAT,10 NOV 1999, UGA, 1258, 26 FEB 2023,JPN,Osaka,5
67, Chala REGASA,30 APR 1997, ETH, 1258, 16 APR 2023,NED,Rotterdam,17
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 03 DEC 2023,ESP,Valencia,4
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 08 OCT 2023,FRA,Paris,F
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 27 AUG 2023,Hősök tere,Budapest 2023,14
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 17 JUN 2023,FRA,Langueux,1
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 21 MAY 2023,FRA,Stade C. Fichot,1
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 06 MAY 2023,FRA,Stade Jean Bouin,13
68, Morhad AMDOUNI,21 JUN 1988, FRA, 1256, 02 APR 2023,FRA,Paris,15
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 03 DEC 2023,ESP,Valencia,19
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 27 AUG 2023,ESP,Budapest 2023,6
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 25 JUN 2023,GER,Hamburg,1
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 11 JUN 2023,ISR,Hadar Yosef Stadium,UNC
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 02 JUN 2023,ISR,Ashkelon,UNC
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 02 JUN 2023,ISR,Ashkelon,16
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 02 APR 2023,GER,Berlin,15
69, Haimro ALAME,08 JUN 1990, ISR, 1255, 19 FEB 2023,ESP,Sevilla,6
70, Bazezew ASMARE,11 SEP 1996, ETH, 1253, 15 OCT 2023,NED,Amsterdam,7
70, Bazezew ASMARE,11 SEP 1996, ETH, 1253, 16 APR 2023,NED,Rotterdam,15
70, Bazezew ASMARE,11 SEP 1996, ETH, 1253, 12 MAR 2023,POR,Lisboa - Elite Event,6
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 05 NOV 2023,USA,New York,2
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 27 AUG 2023,USA,Budapest 2023,18
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 21 MAY 2023,IND,Bengaluru,F
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 23 APR 2023,GBR,London,13
71, Maru TEFERI,17 AUG 1992, ISR, 1253, 19 MAR 2023,USA,New York,F
72, Oqbe Kibrom RUESOM,01 JAN 1998, ERI, 1251, 27 AUG 2023,Hősök tere,Budapest 2023,4
72, Oqbe Kibrom RUESOM,01 JAN 1998, ERI, 1251, 19 MAR 2023,ESP,Barcelona,2
72, Oqbe Kibrom RUESOM,01 JAN 1998, ERI, 1251, 29 JAN 2023,ESP,Sevilla,4
