Place,Competitor,DOB,Nationality,Score,Date,ResultScore,City
1757,Michael FOX,15 Aug 1986,IRL,913, 29 OCT 2023,925, Dublin
1757,Michael FOX,15 Aug 1986,IRL,913, 24 SEP 2023,902, Berlin
1757,Michael FOX,15 Aug 1986,IRL,913, 27 AUG 2023,861, Larne
1758,François CHALUS,1995,SUI,913, 03 DEC 2023,923, Valencia
1758,François CHALUS,1995,SUI,913, 01 OCT 2023,F, Köln
1758,François CHALUS,1995,SUI,913, 23 APR 2023,805, Zürich
1758,François CHALUS,1995,SUI,913, 25 MAR 2023,772, Uster - Swiss 10 km Ch.
1759,Matthew NEUMANN,,CAN,913, 15 OCT 2023,902, Toronto
1759,Matthew NEUMANN,,CAN,913, 07 MAY 2023,905, Vancouver
1760,Rodgers MAIYO,03 Sep 1993,KEN,912, 29 OCT 2023,984, Arezzo
1760,Rodgers MAIYO,03 Sep 1993,KEN,912, 23 APR 2023,946, Muggia
1760,Rodgers MAIYO,03 Sep 1993,KEN,912, 26 MAR 2023,1016, Warszawa
1761,Yuji ONODA,03 Sep 1996,JPN,912, 28:46.59 ,1061, Warszawa
1761,Yuji ONODA,03 Sep 1996,JPN,912, 29:38.66 ,985, Warszawa
1761,Yuji ONODA,03 Sep 1996,JPN,912, 27 AUG 2023,877, Sapporo
1761,Yuji ONODA,03 Sep 1996,JPN,912, 29:45.23 ,976, Sapporo
1761,Yuji ONODA,03 Sep 1996,JPN,912, 29:17.29 ,1016, Sapporo
1761,Yuji ONODA,03 Sep 1996,JPN,912, 23 APR 2023,948, Gifu
1762,Dae-jin LEE,16 Sep 1995,KOR,912, 08 JUL 2024,822, Iksan
1762,Dae-jin LEE,16 Sep 1995,KOR,912, 26 JUN 2024,778, Jeongseon Sports Complex
1762,Dae-jin LEE,16 Sep 1995,KOR,912, 13 JUN 2024,875, Mokpo Stadium
1762,Dae-jin LEE,16 Sep 1995,KOR,912, 23 MAY 2024,763, Naju Sports Complex
1762,Dae-jin LEE,16 Sep 1995,KOR,912, 22 MAY 2024,813, Naju Sports Complex
1762,Dae-jin LEE,16 Sep 1995,KOR,912, 17 MAR 2024,945, Seoul
1762,Dae-jin LEE,16 Sep 1995,KOR,912, 25 FEB 2024,879, Gyeonggi-Do
1763,Ethan CANNON,,USA,912, 30 SEP 2023,880, Akron
1763,Ethan CANNON,,USA,912, 17 JUN 2023,942, Duluth
1763,Ethan CANNON,,USA,912, 27 MAY 2023,F, Stillwater
1765,Jiale CUI,20 Jan 1996,CHN,912, 29 OCT 2023,907, Beijing
1766,Raymond HYNES,06 Apr 1982,IRL,912, 29 OCT 2023,899, Dublin - Irish Marathon Ch.
1767,Koji NISHIKI,18 Jul 1986,JPN,912, 19 NOV 2023,904, Kobe
1767,Koji NISHIKI,18 Jul 1986,JPN,912, 15 OCT 2023,801, Tokyo
1767,Koji NISHIKI,18 Jul 1986,JPN,912, 05 MAR 2023,883, Tokyo
1767,Arnaud FRANCIONI,1995,CAN,912, 03 DEC 2023,912, Valencia
1769,Haobo MA,28 Apr 1996,CHN,911, 29 OCT 2023,952, Xi'an
1769,Haobo MA,28 Apr 1996,CHN,911, 12 MAR 2023,890, Meishan
1770,Antonio David JIMÉNEZ,18 Feb 1977,ESP,911, 29 JAN 2023,875, Sevilla
1771,Timothy O'DONOGHUE,03 May 1986,IRL,911, 19 NOV 2023,B, Gowran Park
1771,Timothy O'DONOGHUE,03 May 1986,IRL,911, 29 OCT 2023,898, Dublin
1771,Timothy O'DONOGHUE,03 May 1986,IRL,911, 27 AUG 2023,925, Larne
1771,Timothy O'DONOGHUE,03 May 1986,IRL,911, 23 JUL 2023,883, Phoenix Park
1771,Timothy O'DONOGHUE,03 May 1986,IRL,911, 05 FEB 2023,F, Oropesa del Mar - XC 8.7km
1772,Michael PINELA,01 Dec 1990,CHI,911, 29 OCT 2023,852, Luzern - World Military Championships
1772,Michael PINELA,01 Dec 1990,CHI,911, 28 MAY 2023,802, Pista Atlética Eliana Gaete Lazo
1772,Michael PINELA,01 Dec 1990,CHI,911, 02 APR 2023,923, Vina del Mar
1773,Tim BRYANT,05 Aug 1981,AUS,911, 15 OCT 2023,920, Cricket Ground
1773,Tim BRYANT,05 Aug 1981,AUS,911, 02 FEB 2023,818, Cricket Ground
1774,Javier PÉREZ,26 Mar 1988,ESP,911, 05 NOV 2023,A, San Sebastián - XC 8.9km
1774,Javier PÉREZ,26 Mar 1988,ESP,911, 22 OCT 2023,GL, Amorebieta-Etxano - XC 8.7km
1774,Javier PÉREZ,26 Mar 1988,ESP,911, 14 MAY 2023,876, Santander
1774,Javier PÉREZ,26 Mar 1988,ESP,911, 16 APR 2023,914, Zaragoza
1775,Lingdi SUN,09 Jul 1996,CHN,910, 11 JUN 2023,853, Jilin
1775,Lingdi SUN,09 Jul 1996,CHN,910, 18 MAR 2023,866, Nanjing
1775,Lingdi SUN,09 Jul 1996,CHN,910, 12 MAR 2023,780, Suzhou
1776,Nicolas ZALEJSKI,07 Mar 1989,FRA,910, 03 DEC 2023,944, Valencia
1776,Nicolas ZALEJSKI,07 Mar 1989,FRA,910, 02 APR 2023,893, Paris
1777,Katsuhiro ANAI,09 Sep 1986,JPN,910, 03 DEC 2023,881, Hofu
1777,Katsuhiro ANAI,09 Sep 1986,JPN,910, 05 FEB 2023,800, Beppu
1778,Elias GEMPERLI,18 Aug 1995,SUI,910, 24 SEP 2023,930, Warszawa
1778,Elias GEMPERLI,18 Aug 1995,SUI,910, 23 APR 2023,891, Zürich
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 05 NOV 2023,B, San Isidro
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 05 NOV 2023,849, San Isidro
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 15 OCT 2023,826, CeNARD
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 31:33.41 ,827, CeNARD
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 27 AUG 2023,926, Buenos Aires
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 08 JUL 2023,B, Misiones - XC 10.0km
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 13 MAY 2023,900, Cef N°3 Hugo Mario La Nasa
1779,Jose Felix SANCHEZ,05 Aug 1987,ARG,910, 29:51.60 ,966, Cef N°3 Hugo Mario La Nasa
1780,Christopher MASON,20 Aug 1983,GBR,910, 03 DEC 2023,923, Valencia
1780,Christopher MASON,20 Aug 1983,GBR,910, 29 OCT 2023,792, Frankfurt
1780,Christopher MASON,20 Aug 1983,GBR,910, 22 OCT 2023,820, Valencia
1781,Beyene TSEGAYE,,ETH,910, 29 OCT 2023,912, Changsha
1781,Beyene TSEGAYE,,ETH,910, 21 MAY 2023,909, Taiyuan
1782,William STRANGEWAY,06 Mar 1986,GBR,909, 14 MAY 2023,846, København
1783,Adane WELETAW,08 Feb 1998,ETH,909, 29 OCT 2023,877, Frankfurt
1783,Adane WELETAW,08 Feb 1998,ETH,909, 04 AUG 2023,931, Schulsportanlage Gymnasium
1783,Adane WELETAW,08 Feb 1998,ETH,909, 03 JUN 2023,954, Universitätsstadion Am Biopark
1783,Adane WELETAW,08 Feb 1998,ETH,909, 20 MAY 2023,922, Carl-Kaufmann-Stadion
1783,Adane WELETAW,08 Feb 1998,ETH,909, 29:55.79 ,960, Carl-Kaufmann-Stadion
1783,Adane WELETAW,08 Feb 1998,ETH,909, 26 MAR 2023,995, Freiburg
1784,Landon WOOLLARD,07 Nov 1995,USA,909, 03 DEC 2023,938, Sacramento
1784,Landon WOOLLARD,07 Nov 1995,USA,909, 17 APR 2023,881, Boston
1785,Matic MODIC,1987,SLO,909, 22 OCT 2023,815, Ljubljana
1785,Matic MODIC,1987,SLO,909, 20 MAY 2023,886, Radenci
1786,Rui Yong SOH,06 Aug 1991,SGP,909, 22 OCT 2023,930, Valencia
1786,Rui Yong SOH,06 Aug 1991,SGP,909, 31:25.25 ,838, Valencia
1786,Rui Yong SOH,06 Aug 1991,SGP,909, 31:10.70 ,857, Valencia
1786,Rui Yong SOH,06 Aug 1991,SGP,909, 09 MAY 2023,845, Morodok Techo National Stadium
1787,Leonard Albert MITRICA,12 Nov 1995,ROU,909, 29 OCT 2023,876, Luzern - World Military Championships
1788,Daniel GRACIA,,ESP,909, 03 DEC 2023,918, Valencia
1788,Daniel GRACIA,,ESP,909, 16 APR 2023,900, Rotterdam
1789,Raphael MAGALHAES,1994,BRA,909, 20 AUG 2023,841, Rio de Janeiro
1789,Raphael MAGALHAES,1994,BRA,909, 30 JUL 2023,903, Praça Charles Muller/Jockey Clube de SP
1790,Nicholas YANEK,22 May 2000,USA,908, 08 OCT 2023,941, Chicago
1790,Nicholas YANEK,22 May 2000,USA,908, 17 APR 2023,876, Boston
1791,Elyassini EL MEHDI,,MAR,908, 08 JUL 2023,814, Complexe Sportif Prince Moulay Abdellah
1791,Elyassini EL MEHDI,,MAR,908, 30 APR 2023,885, Rabat
1792,Zhen Hua MU,,CHN,908, 10 DEC 2023,886, Guangzhou
1792,Zhen Hua MU,,CHN,908, 29 OCT 2023,931, Beijing
1793,Aleksandr KUSTOV,05 Nov 1996,RUS,908, 01 OCT 2023,B, Moskva
1793,Aleksandr KUSTOV,05 Nov 1996,RUS,908, 17 SEP 2023,801, Moskva
1793,Aleksandr KUSTOV,05 Nov 1996,RUS,908, 14 MAY 2023,889, Pushkin
1793,Aleksandr KUSTOV,05 Nov 1996,RUS,908, 03 MAR 2023,809, LFK CSKA
1794,Maxime LOTIGIE,1999,FRA,908, 08 OCT 2023,788, Paris
1794,Maxime LOTIGIE,1999,FRA,908, 26 MAR 2023,846, Houilles
1794,Maxime LOTIGIE,1999,FRA,908, 19 MAR 2023,835, Lille
1795,Masayuki MIYAZAWA,03 May 1995,JPN,908, 03 DEC 2023,908, Fukuoka
1795,Masayuki MIYAZAWA,03 May 1995,JPN,908, 05 FEB 2023,846, Beppu
1796,Georgios MINOS,12 Jan 1988,GRE,907, 19 NOV 2023,B, Trikala - XC 10.0km
1796,Georgios MINOS,12 Jan 1988,GRE,907, 12 NOV 2023,941, Athina - Greek Marathon Ch.
1796,Georgios MINOS,12 Jan 1988,GRE,907, 08 JUL 2023,916, Panthessaliko Stadium
1796,Georgios MINOS,12 Jan 1988,GRE,907, 28 JUN 2023,F, Municipal Stadium
1796,Georgios MINOS,12 Jan 1988,GRE,907, 10 JUN 2023,956, National Stadium
1796,Georgios MINOS,12 Jan 1988,GRE,907, 14 MAY 2023,792, National Stadium
1796,Georgios MINOS,12 Jan 1988,GRE,907, 14 MAY 2023,880, National Stadium
1796,Georgios MINOS,12 Jan 1988,GRE,907, 19 MAR 2023,783, Syntagma Square
1796,Georgios MINOS,12 Jan 1988,GRE,907, 19 FEB 2023,886, Peace and Friendship Stadium
1796,Georgios MINOS,12 Jan 1988,GRE,907, 11 FEB 2023,826, Peace and Friendship Stadium
1797,Xavier TOMASA,01 Dec 1986,ESP,907, 17 AUG 2023,F, Copenhagen
1797,Xavier TOMASA,01 Dec 1986,ESP,907, 19 FEB 2023,911, Barcelona
1797,Xavier TOMASA,01 Dec 1986,ESP,907, 05 FEB 2023,832, Granollers
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 31 DEC 2023,837, Barcelona
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 10 DEC 2023,GL, Laeken Park
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 03 DEC 2023,950, Valencia
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 22 OCT 2023,864, Valencia
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 22 JUN 2023,693, Stadion Śląski
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 21 MAY 2023,585, Estadi Comunal
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 21 MAY 2023,643, Estadi Comunal
1798,Francesc CARMONA PARADA,02 Nov 1984,AND,907, 15 JAN 2023,826, Valencia
1799,Conor MCCAULEY,1983,IRL,907, 03 DEC 2023,870, Valencia
1799,Conor MCCAULEY,1983,IRL,907, 12 MAR 2023,817, Den Haag
1800,Michael JENSEN,06 Jul 1987,DEN,907, 18 NOV 2023,B, Hørhaven - XC 10.0km
1800,Michael JENSEN,06 Jul 1987,DEN,907, 03 JUN 2023,847, České Budějovice
1800,Michael JENSEN,06 Jul 1987,DEN,907, 22 APR 2023,926, Århus
1800,Michael JENSEN,06 Jul 1987,DEN,907, 05 MAR 2023,762, Østerbro
1800,Michael JENSEN,06 Jul 1987,DEN,907, 19 FEB 2023,972, Barcelona
1800,Michael JENSEN,06 Jul 1987,DEN,907, 05 FEB 2023,F, Oropesa del Mar - XC 8.7km
1800,Michael JENSEN,06 Jul 1987,DEN,907, 15 JAN 2023,859, Valencia
1801,Chris BALESTRINI,22 Feb 1992,CAN,907, 07 MAY 2023,880, Vancouver
1802,Thabiso MOSEKILI,09 May 1988,RSA,907, 03 JUN 2023,882, Gqeberha
1802,Thabiso MOSEKILI,09 May 1988,RSA,907, 12 MAR 2023,861, Durban
1803,Kyohei YOSHIDOMI,09 Jul 1997,JPN,907, 03 DEC 2023,931, Hofu
1804,Julian STEENMAN,1995,NED,907, 15 OCT 2023,928, Amsterdam
1804,Julian STEENMAN,1995,NED,907, 17 SEP 2023,824, Zaandam
1804,Julian STEENMAN,1995,NED,907, 03 SEP 2023,866, Rotterdam
1804,Julian STEENMAN,1995,NED,907, 29 JUL 2023,917, Atletiekbaan Breda
1804,Julian STEENMAN,1995,NED,907, 15 JUL 2023,852, Sportpark De Hondsheuvels
1804,Julian STEENMAN,1995,NED,907, 17 JUN 2023,923, Atletiekbaan Brakkenstein
1804,Julian STEENMAN,1995,NED,907, 02 JUN 2023,884, Atletiekbaan Maarschalkerweerd
1804,Julian STEENMAN,1995,NED,907, 12 MAY 2023,F, Atletiekbaan Maarschalkerweerd
1804,Julian STEENMAN,1995,NED,907, 07 MAY 2023,783, Pim Mulier Sportpark
1804,Julian STEENMAN,1995,NED,907, 26 MAR 2023,798, Venlo
1804,Julian STEENMAN,1995,NED,907, 12 FEB 2023,882, Schoorl
1805,Adrian BEER,31 May 1990,AUS,907, 15 OCT 2023,889, Cricket Ground
1806,Jinfa ZHANG,15 May 2000,CHN,907, 29 OCT 2023,887, Beijing
1806,Jinfa ZHANG,15 May 2000,CHN,907, 27 AUG 2023,888, Harbin
1807,Gen SAWAI,22 Jan 1997,JPN,907, 03 DEC 2023,888, Fukuoka
1807,Gen SAWAI,22 Jan 1997,JPN,907, 26 FEB 2023,956, Osaka
1807,Gen SAWAI,22 Jan 1997,JPN,907, 12 FEB 2023,864, Ishin Me-Life Stadium
1808,Richard BÄCKSTRÖM,05 May 1981,SWE,907, 29 OCT 2023,900, Frankfurt
1808,Richard BÄCKSTRÖM,05 May 1981,SWE,907, 17 SEP 2023,807, København
1808,Richard BÄCKSTRÖM,05 May 1981,SWE,907, 16 JUL 2023,756, Slottsskogsvallen
1808,Richard BÄCKSTRÖM,05 May 1981,SWE,907, 21 JUN 2023,736, Stenkullens IP
1808,Richard BÄCKSTRÖM,05 May 1981,SWE,907, 03 JUN 2023,900, Stockholm - Swedish Marathon Ch.
1808,Richard BÄCKSTRÖM,05 May 1981,SWE,907, 23 APR 2023,768, Wien
1809,Giorgos TOFI,27 Oct 1991,CYP,907, 03 DEC 2023,910, Valencia
1809,Giorgos TOFI,27 Oct 1991,CYP,907, 09 JUL 2023,731, GPS Stadium
1809,Giorgos TOFI,27 Oct 1991,CYP,907, 08 JUL 2023,803, GPS Stadium
1809,Giorgos TOFI,27 Oct 1991,CYP,907, 20 JUN 2023,903, Stadion Śląski
1809,Giorgos TOFI,27 Oct 1991,CYP,907, 13 MAY 2023,866, GPS Stadium
1809,Giorgos TOFI,27 Oct 1991,CYP,907, 19 FEB 2023,791, Nicosia
1809,Giorgos TOFI,27 Oct 1991,CYP,907, 22 JAN 2023,B, Nicosia - XC 10.0km
1810,Otmane MENBAR,05 Feb 1992,MAR,906, 10 DEC 2023,861, Mersin
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 03 DEC 2023,941, Valencia
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 21 OCT 2023,B, Galgberget
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 23 SEP 2023,A, Lidingö - XC 30.0km
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 03 JUN 2023,872, Stockholm
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 31:49.80 ,805, Stockholm
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 23 APR 2023,834, Ystads Sandskog
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 02 APR 2023,842, Berlin
1811,Andreas LUNDEGÅRD,09 Apr 1986,SWE,906, 28 JAN 2023,788, Friidrottshall
1812,Henrik ZEFFER,1984,SWE,906, 29 OCT 2023,894, Frankfurt
1812,Henrik ZEFFER,1984,SWE,906, 23 SEP 2023,A, Lidingö - XC 30.0km
1812,Henrik ZEFFER,1984,SWE,906, 29 AUG 2023,793, Olympiastadion
1812,Henrik ZEFFER,1984,SWE,906, 03 JUN 2023,825, Stockholm
1813,Gary HEGARTY,07 Nov 1986,GBR,906, 03 DEC 2023,896, Valencia
1814,Niels ESMEIJER,1983,NED,906, 03 DEC 2023,912, Valencia
1814,Niels ESMEIJER,1983,NED,906, 15 OCT 2023,901, Amsterdam
1814,Niels ESMEIJER,1983,NED,906, 03 SEP 2023,795, Rotterdam
1815,Thomas DIALYNAS,22 Dec 1989,USA,906, 03 DEC 2023,912, Sacramento
1815,Thomas DIALYNAS,22 Dec 1989,USA,906, 08 OCT 2023,900, Chicago
1816,Yusei ITO,13 Oct 1997,JPN,906, 19 NOV 2023,863, Kobe
1816,Yusei ITO,13 Oct 1997,JPN,906, 05 MAR 2023,943, Tokyo
1816,Yusei ITO,13 Oct 1997,JPN,906, 05 FEB 2023,857, Marugame
1817,Rolf STEIER,07 Jun 1984,NOR,906, 03 DEC 2023,911, Valencia
1818,Clement D'ANASTASI,1998,FRA,906, 03 DEC 2023,909, Valencia
1818,Clement D'ANASTASI,1998,FRA,906, 02 APR 2023,871, Paris
1818,Clement D'ANASTASI,1998,FRA,906, 19 MAR 2023,801, St-Médard
1819,Bingxian CAI,24 Sep 2000,CHN,905, 11 JUN 2023,794, Jilin
1820,Igor SHAROV,10 Jun 1987,RUS,905, 01 OCT 2023,B, Moskva
1820,Igor SHAROV,10 Jun 1987,RUS,905, 14 MAY 2023,955, Pushkin
1821,Sam GEHA,1996,USA,905, 05 NOV 2023,854, New York
1822,Alex CERVERO,,ESP,905, 31 DEC 2023,820, Barcelona
1822,Alex CERVERO,,ESP,905, 03 DEC 2023,955, Valencia
1822,Alex CERVERO,,ESP,905, 19 FEB 2023,874, Barcelona
1823,Chris ZUERNER,12 Sep 1988,USA,905, 17 APR 2023,877, Boston
1823,Chris ZUERNER,12 Sep 1988,USA,905, 15 JAN 2023,826, Houston
1824,Tomoaki KOGA,05 Jan 1996,JPN,905, 03 DEC 2023,879, Hofu
1824,Tomoaki KOGA,05 Jan 1996,JPN,905, 26 FEB 2023,879, Osaka
1824,Tomoaki KOGA,05 Jan 1996,JPN,905, 05 FEB 2023,844, Marugame
1825,Ben COOK,20 Jun 1994,AUS,905, 17 SEP 2023,865, presented by Asics
1825,Ben COOK,20 Jun 1994,AUS,905, 13 AUG 2023,868, Alexandra Headland
1825,Ben COOK,20 Jun 1994,AUS,905, 01 JUL 2023,925, Southport
1825,Ben COOK,20 Jun 1994,AUS,905, 07 MAY 2023,878, Sydney
1826,Shawn MCBRIDE,,USA,905, 05 NOV 2023,887, New York
1826,Shawn MCBRIDE,,USA,905, 24 SEP 2023,923, Berlin
1827,Kazuki TAKESHITA,17 Sep 1995,JPN,904, 27 AUG 2023,815, Sapporo
1827,Kazuki TAKESHITA,17 Sep 1995,JPN,904, 05 MAR 2023,955, Tokyo
1828,Joacim LANTZ,30 Aug 1991,SWE,904, 23 SEP 2023,A, Lidingö - XC 30.0km
1828,Joacim LANTZ,30 Aug 1991,SWE,904, 13 MAY 2023,833, Stockholm
1828,Joacim LANTZ,30 Aug 1991,SWE,904, 16 APR 2023,975, Rotterdam
1828,Joacim LANTZ,30 Aug 1991,SWE,904, 19 FEB 2023,889, Barcelona
1829,Lars Christian SCHWALM,17 May 1997,GER,904, 01 OCT 2023,948, Köln - German Marathon Ch.
1829,Lars Christian SCHWALM,17 May 1997,GER,904, 17 SEP 2023,879, Zaandam
1829,Lars Christian SCHWALM,17 May 1997,GER,904, 10 SEP 2023,779, Bad Liebenzell
1830,Daniel PEDERSON,,USA,904, 08 OCT 2023,957, Chicago
1830,Daniel PEDERSON,,USA,904, 17 JUN 2023,852, Duluth
1830,Daniel PEDERSON,,USA,904, 15 JAN 2023,862, Houston
1831,Italo GIANCATERINA,1988,ITA,904, 19 NOV 2023,953, Verona
1831,Italo GIANCATERINA,1988,ITA,904, 15 OCT 2023,855, Telese Terme
1831,Italo GIANCATERINA,1988,ITA,904, 31:56.57 ,797, Telese Terme
1831,Italo GIANCATERINA,1988,ITA,904, 12 MAR 2023,B, Gubbio - XC 10.0km
1831,Italo GIANCATERINA,1988,ITA,904, 05 MAR 2023,915, Roma
1832,Hiroki YAMADA,19 Jun 1992,JPN,904, 23 APR 2023,867, Nagano
1832,Hiroki YAMADA,19 Jun 1992,JPN,904, 05 MAR 2023,1025, Tokyo
1833,Julien DREUX,1985,FRA,904, 03 DEC 2023,934, Valencia
1833,Julien DREUX,1985,FRA,904, 08 OCT 2023,847, Paris
1833,Julien DREUX,1985,FRA,904, 12 FEB 2023,F, Monaco
1834,Jackson FRIESTH,28 Apr 1993,USA,904, 03 DEC 2023,931, Sacramento
1834,Jackson FRIESTH,28 Apr 1993,USA,904, 17 JUN 2023,878, Duluth
1834,Jackson FRIESTH,28 Apr 1993,USA,904, 31:52.60 ,802, Duluth
1835,Seiki YAMAMURA,22 Aug 1989,JPN,904, 05 FEB 2023,926, Beppu
1836,William MISON,15 Sep 1998,AUS,904, 03 SEP 2023,804, Sydney
1837,Takamasa KAYA,10 Apr 1990,JPN,904, 03 DEC 2023,896, Fukuoka
1837,Takamasa KAYA,10 Apr 1990,JPN,904, 26 FEB 2023,955, Osaka
1838,Rodrigo MACHADO,21 Feb 1992,CHI,904, 05 NOV 2023,871, New York
1838,Rodrigo MACHADO,21 Feb 1992,CHI,904, 01 OCT 2023,908, Vina del Mar
1839,Richard HO,,USA,903, 14 OCT 2023,986, Valley Cottage
1840,Roberto Carlos TREJO,05 Jul 1980,ESP,903, 03 DEC 2023,946, Valencia
1840,Roberto Carlos TREJO,05 Jul 1980,ESP,903, 22 OCT 2023,861, Valencia
1841,Ismail SSENYANGE,28 Nov 1986,UGA,903, 21 OCT 2023,B, Pirdop - XC 10.0km
1841,Ismail SSENYANGE,28 Nov 1986,UGA,903, 08 OCT 2023,940, Sofia
1841,Ismail SSENYANGE,28 Nov 1986,UGA,903, 09 JUL 2023,819, Stadium Ivaylo
1841,Ismail SSENYANGE,28 Nov 1986,UGA,903, 08 JUL 2023,869, Stadium Ivaylo
1841,Ismail SSENYANGE,28 Nov 1986,UGA,903, 14 MAY 2023,866, Varna
1841,Ismail SSENYANGE,28 Nov 1986,UGA,903, 09 APR 2023,873, Stara Zagora
1842,Gerardo HARO,14 Dec 1981,ARG,903, 24 SEP 2023,890, Buenos Aires
1842,Gerardo HARO,14 Dec 1981,ARG,903, 27 AUG 2023,883, Buenos Aires
1843,Tristan HUMBLET,18 Aug 1990,FRA,903, 03 DEC 2023,899, Valencia
1843,Tristan HUMBLET,18 Aug 1990,FRA,903, 24 SEP 2023,896, Montbéliard
1843,Tristan HUMBLET,18 Aug 1990,FRA,903, 23 JUN 2023,822, Stade Municipal
1843,Tristan HUMBLET,18 Aug 1990,FRA,903, 09 JUN 2023,819, Stade de Valcourt
1843,Tristan HUMBLET,18 Aug 1990,FRA,903, 07 MAY 2023,791, Stade Raymond Petit
1843,Tristan HUMBLET,18 Aug 1990,FRA,903, 19 MAR 2023,858, Nancy
1844,Hiroki KAMADA,08 Jul 1986,JPN,903, 03 DEC 2023,901, Fukuoka
1844,Hiroki KAMADA,08 Jul 1986,JPN,903, 26 FEB 2023,903, Osaka
1845,Brett LUSTGARTEN,30 Nov 1989,USA,902, 03 DEC 2023,1015, Sacramento
1845,Brett LUSTGARTEN,30 Nov 1989,USA,902, 26 FEB 2023,890, Fort Worth
1846,Daniel ŻOCHOWSKI,06 Jan 1997,POL,902, 17 SEP 2023,796, København
1847,Kentaro TERADA,11 Jan 1999,JPN,902, 03 DEC 2023,816, Fukuoka
1848,Nick EARL,22 Sep 1984,GBR,902, 15 OCT 2023,847, Cricket Ground
1848,Nick EARL,22 Sep 1984,GBR,902, 13 AUG 2023,873, Alexandra Headland
1848,Nick EARL,22 Sep 1984,GBR,902, 11 JUN 2023,873, Riverbend Park
1848,Nick EARL,22 Sep 1984,GBR,902, 23 APR 2023,932, London
1848,Nick EARL,22 Sep 1984,GBR,902, 17 MAR 2023,771, London
1848,Nick EARL,22 Sep 1984,GBR,902, 05 MAR 2023,827, Hobart
